config,lead_scheme,lead,n,f1_1to5,f1_3plus
"XGBoost, Ethiopia (best variant)","RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.7074220796890781,0.7422007568897395
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",0,828,0.7300129188532143,0.7523253199308839
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",1,828,0.7300129188532143,0.7523253199308839
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",2,828,0.7300129188532143,0.7523253199308839
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",3,828,0.7300129188532143,0.7523253199308839
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",4,828,0.6905437767552074,0.7235532665658455
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",8,828,0.6663897210282682,0.7057575947901588
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",12,828,0.6293011481867066,0.6689964372321805
Persistence (default),"RQ2 grid (0,1,2,3,4,8,12)",mean,5796,0.7008980459118627,0.7296583683302458
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",0,1380,0.7131415078322696,0.7588359493603654
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",1,1380,0.7131415078322696,0.7588359493603654
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",2,1380,0.7131415078322696,0.7588359493603654
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",3,1380,0.7131415078322696,0.7588359493603654
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",4,1380,0.6840836486682363,0.735002669038826
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",8,1380,0.676274855924964,0.7359108472986234
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",12,1380,0.6343688310544436,0.6922302570136791
Persistence (extended),"RQ2 grid (0,1,2,3,4,8,12)",mean,9660,0.6924704809966745,0.7426410815417986
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",0,1196,0.7714502236578589,0.8193705644897589
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",1,1288,0.7673275991442442,0.8118504526932409
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",2,1288,0.7501707962846634,0.8042562412252334
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",3,1380,0.7456757853644589,0.7986641402553479
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",4,1104,0.7257003412391427,0.779557117265355
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",5,1196,0.7221784523522788,0.7750471143647958
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",6,1288,0.7222512527306465,0.7636278887258128
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",7,1380,0.7114223215926816,0.7575402449104462
FEWS NET outlook (2020-2024),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",mean,10120,0.739522096545747,0.7887392204912489
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",0,184,0.7261758102981724,0.7261758102981724
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",1,184,0.7261758102981724,0.7261758102981724
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",2,184,0.7261758102981724,0.7261758102981724
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",3,184,0.7261758102981724,0.7261758102981724
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",4,92,0.7032896349558742,0.7032896349558742
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",5,92,0.7032896349558742,0.7032896349558742
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",6,92,0.7032896349558742,0.7032896349558742
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",7,92,0.7032896349558742,0.7032896349558742
FEWS NET outlook (2026-only),"FEWS ML1/ML2 lead_end (0-3=ML1, 4-7=ML2)",mean,1104,0.7147327226270233,0.7147327226270233
