combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF+TabICL,agropastoral,2,75,0.6533333333333333,0.6603809523809524,0.3542807182700804,0.40519148260609783
XGB+RF+TabICL,agropastoral,3,75,0.72,0.7042916223561385,0.3276132007294901,0.5110788471592771
XGB+RF+TabICL,agropastoral,4,75,0.72,0.7107697666318356,0.34999716657242647,0.47669045103823127
XGB+RF+TabICL,agropastoral,8,75,0.7466666666666667,0.6981333333333334,0.32312808179654184,0.5382748039731517
XGB+RF+TabICL,agropastoral,12,75,0.72,0.6956707341629415,0.3770035529160175,0.39873987797777954
XGB+RF+TabICL,crop_farming,0,1005,0.7542288557213931,0.7571379327492364,0.26201764003397215,0.724328247787714
XGB+RF+TabICL,crop_farming,1,1005,0.745273631840796,0.7477609517630275,0.2626268989505158,0.7126744240393834
XGB+RF+TabICL,crop_farming,2,1005,0.7562189054726368,0.7562280617153423,0.2662332164809205,0.7119563140674804
XGB+RF+TabICL,crop_farming,3,1005,0.7582089552238805,0.7567696228434334,0.2674675984937746,0.715238482952617
XGB+RF+TabICL,crop_farming,4,1005,0.736318407960199,0.7318093621653995,0.28922345231901975,0.6657656178292787
XGB+RF+TabICL,crop_farming,8,1005,0.7114427860696517,0.7056516889104132,0.33523465176270123,0.5456862672910915
XGB+RF+TabICL,crop_farming,12,1005,0.718407960199005,0.6972532569937198,0.3309300919195,0.5314397573152289
XGB+LSTM+TabICL,all,0,1380,0.7043478260869566,0.7160594036886117,0.32573857255094074,0.7205065602244587
XGB+LSTM+TabICL,all,1,1380,0.7130434782608696,0.7227204936514515,0.3070921691840176,0.7349994980955954
XGB+LSTM+TabICL,all,2,1380,0.7050724637681159,0.7147315472423219,0.3214107170270577,0.714599622217706
XGB+LSTM+TabICL,all,3,1380,0.7188405797101449,0.7265630360001251,0.3198506974891314,0.7364440650675743
XGB+LSTM+TabICL,all,4,1380,0.686231884057971,0.6955353332715658,0.3519772542736195,0.6863117301623575
XGB+LSTM+TabICL,all,8,1380,0.6681159420289855,0.6703185303736753,0.3765182115351524,0.6185027200831872
XGB+LSTM+TabICL,all,12,1380,0.6804347826086956,0.6678715478289198,0.3721602988150233,0.6256867978612783
XGB+LSTM+TabICL,pastoral,0,300,0.62,0.6049898339966031,0.36902609702242456,0.45499169358862834
XGB+LSTM+TabICL,pastoral,1,300,0.6466666666666666,0.6370393183881556,0.3461612406060981,0.512954584311605
XGB+LSTM+TabICL,pastoral,2,300,0.63,0.6177724606212979,0.3579248258321575,0.49057872112797674
XGB+LSTM+TabICL,pastoral,3,300,0.6333333333333333,0.62340368109257,0.3566101884533153,0.5109836204954141
XGB+LSTM+TabICL,pastoral,4,300,0.5666666666666667,0.5502523942537909,0.42659685872236025,0.37316604349065774
XGB+LSTM+TabICL,pastoral,8,300,0.57,0.5518534187683124,0.4297335164336562,0.3610243842407328
XGB+LSTM+TabICL,pastoral,12,300,0.5866666666666667,0.5331334547436242,0.4432609482161894,0.31249507771752605
XGB+LSTM+TabICL,agropastoral,0,75,0.6933333333333334,0.7042020202020202,0.3986068503679583,0.3048264456901425
XGB+LSTM+TabICL,agropastoral,1,75,0.64,0.6515046710395548,0.40484840623494234,0.29271382575888893
XGB+LSTM+TabICL,agropastoral,2,75,0.68,0.6908424908424908,0.3952477867228217,0.30816458324137364
XGB+LSTM+TabICL,agropastoral,3,75,0.68,0.6863809523809524,0.36538504602327604,0.45285406889982627
XGB+LSTM+TabICL,agropastoral,4,75,0.6666666666666666,0.6747301587301586,0.3910514941274962,0.3561608170511439
XGB+LSTM+TabICL,agropastoral,8,75,0.7333333333333333,0.7355555555555555,0.374135531180821,0.45538461103174765
XGB+LSTM+TabICL,agropastoral,12,75,0.6933333333333334,0.6910365787474221,0.3963105194323821,0.44039465826468704
XGB+LSTM+TabICL,crop_farming,0,1005,0.7303482587064677,0.7450823767442034,0.30737899227460097,0.6628741468681156
XGB+LSTM+TabICL,crop_farming,1,1005,0.7383084577114428,0.7516815382018988,0.28813451823332764,0.6763479483037236
XGB+LSTM+TabICL,crop_farming,2,1005,0.7293532338308458,0.7422544042878714,0.3050007539736127,0.6449829085953772
XGB+LSTM+TabICL,crop_farming,3,1005,0.7472636815920398,0.7562875880325276,0.30547962940025986,0.6717858883407872
XGB+LSTM+TabICL,crop_farming,4,1005,0.7233830845771144,0.7340157345442941,0.3267867574341538,0.6184478377385232
XGB+LSTM+TabICL,crop_farming,8,1005,0.6925373134328359,0.6953554810974406,0.3608108578605491,0.49884314025621734
XGB+LSTM+TabICL,crop_farming,12,1005,0.7074626865671642,0.6945830258243348,0.34913396909696204,0.522218876316596
