model,target_mode,window,lhz,lead,n,accuracy,f1_weighted,mae,r2
TabICLv2,classification,extended,pastoral,3,300.0,0.54,0.49029579267317236,0.46,-0.02995322917703236
TabICLv2,classification,extended,pastoral,4,300.0,0.5133333333333333,0.4707947175348496,0.49333333333333335,-0.13444123793412266
TabICLv2,classification,extended,pastoral,8,300.0,0.5033333333333333,0.44917708554072194,0.5233333333333333,-0.291173251069758
TabICLv2,classification,extended,pastoral,12,300.0,0.5266666666666666,0.46173134042349334,0.49333333333333335,-0.1941486715096028
XGBoost,delta,default,agropastoral,0,45.0,0.6222222222222222,0.617944147355912,0.40791414845191315,0.30263786966920103
XGBoost,delta,default,agropastoral,1,45.0,0.7333333333333333,0.7273432449903038,0.37876842713880704,0.36247684187617324
XGBoost,delta,default,agropastoral,2,45.0,0.7333333333333333,0.716923076923077,0.36408093807647346,0.4154810458984961
XGBoost,delta,default,agropastoral,3,45.0,0.6444444444444445,0.6373913668031315,0.387692139334248,0.3590794251640028
XGBoost,delta,default,agropastoral,4,45.0,0.6444444444444445,0.5784461152882205,0.4254392909869924,0.2901398708713838
XGBoost,delta,default,agropastoral,8,45.0,0.7111111111111111,0.6883184789067143,0.3932864747983489,0.4046502668956028
