model,target_mode,window,lhz,lead,n,accuracy,f1_weighted,mae,r2
RandomForest,level,extended,pastoral,3,300.0,0.61,0.5496127110228402,0.463638698998445,0.21065808560705368
RandomForest,level,extended,pastoral,4,300.0,0.54,0.48605220692928336,0.5025057122946404,0.12172226149907928
RandomForest,level,extended,pastoral,8,300.0,0.52,0.46080103359173125,0.5657955264291581,-0.0906623118613763
RandomForest,level,extended,pastoral,12,300.0,0.4633333333333333,0.40131086399100496,0.6103715660840866,-0.25805372012539185
T-GCN,classification,default,agropastoral,0,45.0,0.5333333333333333,0.4531590413943355,0.5111111111111111,-0.2980769230769229
T-GCN,classification,default,agropastoral,1,45.0,0.5777777777777777,0.4548168249660787,0.4222222222222222,0.08653846153846168
T-GCN,classification,default,agropastoral,2,45.0,0.24444444444444444,0.1512820512820513,1.0222222222222221,-2.3653846153846145
T-GCN,classification,default,agropastoral,3,45.0,0.5333333333333333,0.40505050505050505,0.4888888888888889,-0.15384615384615352
T-GCN,classification,default,agropastoral,4,45.0,0.6222222222222222,0.5804444444444444,0.4,0.03846153846153866
T-GCN,classification,default,agropastoral,8,45.0,0.26666666666666666,0.22049910873440284,0.9333333333333333,-1.8846153846153841
T-GCN,classification,default,agropastoral,12,45.0,0.5555555555555556,0.4523809523809524,0.4444444444444444,0.03846153846153866
T-GCN,classification,default,crop_farming,0,603.0,0.5737976782752903,0.543352707598742,0.5257048092868989,-0.04038376574902114
T-GCN,classification,default,crop_farming,1,603.0,0.4975124378109453,0.47122642618783583,0.5655058043117744,0.023922515577629255
T-GCN,classification,default,crop_farming,2,603.0,0.5854063018242123,0.4397841618972805,0.6086235489220564,-0.5134942640808056
T-GCN,classification,default,crop_farming,3,603.0,0.31840796019900497,0.22470322482296037,0.7346600331674958,-0.16440302259327533
T-GCN,classification,default,crop_farming,4,603.0,0.263681592039801,0.24237636199919127,0.8706467661691543,-0.5778005454074557
T-GCN,classification,default,crop_farming,8,603.0,0.582089552238806,0.46929737658837256,0.6053067993366501,-0.49052773503557323
T-GCN,classification,default,crop_farming,12,603.0,0.39800995024875624,0.3555201950806969,0.6550580431177446,-0.05416368317616049
T-GCN,classification,default,pastoral,0,180.0,0.3111111111111111,0.18267074413863404,0.8944444444444445,-1.9919304779639964
T-GCN,classification,default,pastoral,1,180.0,0.34444444444444444,0.18370370370370373,0.7722222222222223,-1.2470515207945367
T-GCN,classification,default,pastoral,2,180.0,0.05,0.06151735270379338,1.6833333333333333,-6.510862818125386
T-GCN,classification,default,pastoral,3,180.0,0.35555555555555557,0.18652094717668488,0.75,-1.1477343265052755
T-GCN,classification,default,pastoral,4,180.0,0.5666666666666667,0.531342932429889,0.4722222222222222,-0.22905027932960853
T-GCN,classification,default,pastoral,8,180.0,0.10555555555555556,0.12450332614167567,1.5222222222222221,-5.604593420235876
T-GCN,classification,default,pastoral,12,180.0,0.36666666666666664,0.21863945578231292,0.7388888888888889,-1.1229050279329602
TabICLv2,classification,default,agropastoral,0,45.0,0.6666666666666666,0.6671023965141611,0.35555555555555557,0.15094339622641506
TabICLv2,classification,default,agropastoral,1,45.0,0.5777777777777777,0.5729629629629629,0.4444444444444444,-0.037735849056603765
TabICLv2,classification,default,agropastoral,2,45.0,0.6444444444444445,0.6434886499402628,0.37777777777777777,0.10377358490566035
TabICLv2,classification,default,agropastoral,3,45.0,0.6,0.5656177156177157,0.4,0.15094339622641506
TabICLv2,classification,default,agropastoral,4,45.0,0.5777777777777777,0.571496642841672,0.4444444444444444,-0.037735849056603765
TabICLv2,classification,default,agropastoral,8,45.0,0.6222222222222222,0.6161973048563437,0.4,0.05660377358490565
