zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0101,crop_farming,ML1,2024-05-01,2024-05-31,0,2024-06-01,3,3,3.0302675257699505,3.048291962049102
ET0101,crop_farming,ML2,2023-11-01,2024-05-31,6,2024-06-01,4,3,3.9766825552115175,3.048291962049102
ET0101,crop_farming,ML2,2024-01-01,2024-05-31,4,2024-06-01,4,3,3.982903650619172,3.048291962049102
ET0101,crop_farming,ML2,2024-02-01,2024-09-30,7,2024-10-01,4,2,3.3304450573572826,2.1223037130779305
ET0101,crop_farming,ML2,2024-03-01,2024-09-30,6,2024-10-01,4,2,3.3304450573572826,2.1223037130779305
ET0101,crop_farming,ML2,2024-04-01,2024-09-30,5,2024-10-01,3,2,3.0302675257699505,2.1223037130779305
ET0101,crop_farming,ML2,2024-05-01,2024-09-30,4,2024-10-01,3,2,3.0302675257699505,2.1223037130779305
ET0101,crop_farming,ML1,2024-06-01,2024-09-30,3,2024-10-01,3,2,3.048291962049102,2.1223037130779305
ET0101,crop_farming,ML1,2024-09-01,2024-09-30,0,2024-10-01,3,2,3.048291962049102,2.1223037130779305
ET0101,crop_farming,ML1,2024-08-01,2024-09-30,1,2024-10-01,3,2,3.048291962049102,2.1223037130779305
ET0101,crop_farming,ML1,2024-07-01,2024-09-30,2,2024-10-01,3,2,3.048291962049102,2.1223037130779305
ET0102,crop_farming,ML2,2019-06-01,2020-01-31,7,2020-02-01,1,1,1.1684119495618104,1.1698923481837162
ET0102,crop_farming,ML1,2019-11-01,2020-01-31,2,2020-02-01,1,1,1.1698923481837162,1.1698923481837162
ET0102,crop_farming,ML2,2019-07-01,2020-01-31,6,2020-02-01,1,1,1.1684119495618104,1.1698923481837162
ET0102,crop_farming,ML1,2019-12-01,2020-01-31,1,2020-02-01,1,1,1.1698923481837162,1.1698923481837162
ET0102,crop_farming,ML1,2019-10-01,2020-01-31,3,2020-02-01,1,1,1.1698923481837162,1.1698923481837162
ET0102,crop_farming,ML1,2020-05-01,2020-05-31,0,2020-06-01,3,2,2.1405291260602555,1.7517747669307957
ET0102,crop_farming,ML1,2020-04-01,2020-05-31,1,2020-06-01,3,2,2.1405291260602555,1.7517747669307957
ET0102,crop_farming,ML1,2020-03-01,2020-05-31,2,2020-06-01,2,2,1.5063989404768203,1.7517747669307957
ET0102,crop_farming,ML1,2020-02-01,2020-05-31,3,2020-06-01,2,2,1.5063989404768203,1.7517747669307957
ET0102,crop_farming,ML2,2019-12-01,2020-05-31,5,2020-06-01,2,2,1.5977237049885271,1.7517747669307957
ET0102,crop_farming,ML2,2019-11-01,2020-05-31,6,2020-06-01,2,2,1.5977237049885271,1.7517747669307957
ET0102,crop_farming,ML2,2019-10-01,2020-05-31,7,2020-06-01,2,2,1.5977237049885271,1.7517747669307957
ET0102,crop_farming,ML1,2020-09-01,2020-09-30,0,2020-10-01,3,1,2.1641709852144233,1.0008098505909138
ET0102,crop_farming,ML1,2020-08-01,2020-09-30,1,2020-10-01,3,1,2.1641709852144233,1.0008098505909138
ET0102,crop_farming,ML1,2020-07-01,2020-09-30,2,2020-10-01,3,1,2.1641709852144233,1.0008098505909138
ET0102,crop_farming,ML1,2020-06-01,2020-09-30,3,2020-10-01,3,1,2.1641709852144233,1.0008098505909138
ET0102,crop_farming,ML2,2020-05-01,2020-09-30,4,2020-10-01,3,1,2.5529253443438833,1.0008098505909138
ET0102,crop_farming,ML2,2020-04-01,2020-09-30,5,2020-10-01,3,1,2.5529253443438833,1.0008098505909138
ET0102,crop_farming,ML2,2020-03-01,2020-09-30,6,2020-10-01,2,1,1.924560262605582,1.0008098505909138
ET0102,crop_farming,ML2,2020-02-01,2020-09-30,7,2020-10-01,2,1,1.924560262605582,1.0008098505909138
ET0102,crop_farming,ML2,2020-06-01,2021-01-31,7,2021-02-01,2,4,1.749959847499142,3.503758640431799
ET0102,crop_farming,ML2,2020-07-01,2021-01-31,6,2021-02-01,2,4,1.749959847499142,3.503758640431799
ET0102,crop_farming,ML1,2021-01-01,2021-01-31,0,2021-02-01,4,4,3.503758640431799,3.503758640431799
ET0102,crop_farming,ML1,2020-12-01,2021-01-31,1,2021-02-01,4,4,3.31168705848855,3.503758640431799
ET0102,crop_farming,ML1,2020-11-01,2021-01-31,2,2021-02-01,2,4,1.6517481002892924,3.503758640431799
ET0102,crop_farming,ML1,2020-10-01,2021-01-31,3,2021-02-01,2,4,1.6517481002892924,3.503758640431799
ET0102,crop_farming,ML2,2020-09-01,2021-01-31,4,2021-02-01,2,4,1.749959847499142,3.503758640431799
ET0102,crop_farming,ML2,2020-08-01,2021-01-31,5,2021-02-01,2,4,1.749959847499142,3.503758640431799
ET0102,crop_farming,ML1,2021-03-01,2021-05-31,2,2021-06-01,4,4,3.997244785057779,3.997244785057779
ET0102,crop_farming,ML1,2021-02-01,2021-05-31,3,2021-06-01,4,4,3.997244785057779,3.997244785057779
ET0102,crop_farming,ML2,2020-11-01,2021-05-31,6,2021-06-01,2,4,1.9770760104274216,3.997244785057779
ET0102,crop_farming,ML2,2020-10-01,2021-05-31,7,2021-06-01,2,4,1.9770760104274216,3.997244785057779
ET0102,crop_farming,ML1,2021-05-01,2021-05-31,0,2021-06-01,4,4,3.997244785057779,3.997244785057779
ET0102,crop_farming,ML2,2020-12-01,2021-05-31,5,2021-06-01,3,4,2.807928418056751,3.997244785057779
ET0102,crop_farming,ML2,2021-01-01,2021-05-31,4,2021-06-01,4,4,3.997244785057779,3.997244785057779
ET0102,crop_farming,ML1,2021-04-01,2021-05-31,1,2021-06-01,4,4,3.997244785057779,3.997244785057779
ET0102,crop_farming,ML2,2021-05-01,2021-09-30,4,2021-10-01,4,4,3.997244785057779,3.9961092712973856
ET0102,crop_farming,ML2,2021-04-01,2021-09-30,5,2021-10-01,4,4,3.997244785057779,3.9961092712973856
ET0102,crop_farming,ML2,2021-03-01,2021-09-30,6,2021-10-01,4,4,3.997244785057779,3.9961092712973856
ET0102,crop_farming,ML2,2021-02-01,2021-09-30,7,2021-10-01,4,4,3.997244785057779,3.9961092712973856
ET0102,crop_farming,ML1,2021-06-01,2021-09-30,3,2021-10-01,4,4,3.997244785057779,3.9961092712973856
ET0102,crop_farming,ML1,2022-01-01,2022-01-31,0,2022-02-01,4,4,3.9961092712973856,3.998054635648693
ET0102,crop_farming,ML1,2021-12-01,2022-01-31,1,2022-02-01,4,4,3.9961092712973856,3.998054635648693
ET0102,crop_farming,ML1,2021-11-01,2022-01-31,2,2022-02-01,4,4,3.9961092712973856,3.998054635648693
ET0102,crop_farming,ML1,2021-10-01,2022-01-31,3,2022-02-01,4,4,3.9961092712973856,3.998054635648693
ET0102,crop_farming,ML2,2021-06-01,2022-01-31,7,2022-02-01,4,4,3.994489570115558,3.998054635648693
ET0102,crop_farming,ML1,2022-04-01,2022-05-31,1,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML2,2022-01-01,2022-05-31,4,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML1,2022-05-01,2022-05-31,0,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML2,2021-12-01,2022-05-31,5,2022-06-01,4,4,3.998054635648693,3.997244785057779
ET0102,crop_farming,ML2,2021-11-01,2022-05-31,6,2022-06-01,4,4,3.998054635648693,3.997244785057779
