zone_code,dominant_livelihood_zone,scenario,collection_date,projection_end,lead_end,cs_date,pred_phase,obs_phase,pred_continuous,obs_continuous
ET0303,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.2321606913796104,2.7141033393420075
ET0303,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,2.2321606913796104,2.7141033393420075
ET0303,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,2.2321606913796104,2.7141033393420075
ET0303,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,2.2097433236063195,2.7141033393420075
ET0303,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,2.2097433236063195,2.7141033393420075
ET0303,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,2.2321606913796104,2.7141033393420075
ET0303,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,2.2321606913796104,2.7141033393420075
ET0303,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,2.2321606913796104,2.7141033393420075
ET0304,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,3,3,1.7589009150581252,1.930527536495463
ET0304,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,3,3,1.7589009150581252,1.930527536495463
ET0304,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,3,3,1.7589009150581252,1.930527536495463
ET0304,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,3,3,1.7589009150581252,1.930527536495463
ET0304,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,1.930527536495463,2.3236366672566824
ET0304,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,3,3,1.930527536495463,2.3236366672566824
ET0304,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,3,3,1.930527536495463,2.3236366672566824
ET0304,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,3,3,1.9303454522255508,2.3236366672566824
ET0304,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,3,3,1.9303454522255508,2.3236366672566824
ET0304,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,3,3,1.930527536495463,2.3236366672566824
ET0304,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,3,3,1.930527536495463,2.3236366672566824
ET0304,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,3,3,1.930527536495463,2.3236366672566824
ET0305,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,1,2,1.1826964498109631,1.2039441963750268
ET0305,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,1,2,1.1826964498109631,1.2039441963750268
ET0305,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,1,2,1.1826964498109631,1.2039441963750268
ET0305,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,1,2,1.1826964498109631,1.2039441963750268
ET0305,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,2,3,1.2090502837116346,2.0276849020209275
ET0305,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,2,3,1.2090502837116346,2.0276849020209275
ET0305,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,2,3,1.2090502837116346,2.0276849020209275
ET0305,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,2,3,1.2039441963750268,2.0276849020209275
ET0305,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,2,3,1.2039441963750268,2.0276849020209275
ET0305,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,2,3,1.2090502837116346,2.0276849020209275
ET0305,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,2,3,1.2039441963750268,2.0276849020209275
ET0305,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,2,3,1.2039441963750268,2.0276849020209275
ET0306,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,1,1,1.002315395198807,1.002315395198807
ET0306,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,1,1,1.002315395198807,1.002315395198807
ET0306,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,1,1,1.002315395198807,1.002315395198807
ET0306,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,1,1,1.002315395198807,1.002315395198807
ET0306,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0306,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,1,1,1.002315395198807,1.1639191014567294
ET0307,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML2,2025-11-01,2026-05-31,6,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML2,2025-12-01,2026-05-31,5,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2026-04-01,2026-05-31,1,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2026-05-01,2026-05-31,0,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML2,2026-01-01,2026-05-31,4,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2026-03-01,2026-05-31,2,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0307,crop_farming,ML1,2026-02-01,2026-05-31,3,2026-06-01,1,1,1.000247971461409,1.000247971461409
ET0308,crop_farming,ML1,2025-12-01,2026-01-31,1,2026-02-01,2,3,1.9609541892714717,2.4293525828638716
ET0308,crop_farming,ML1,2025-11-01,2026-01-31,2,2026-02-01,2,3,1.9609541892714717,2.4293525828638716
ET0308,crop_farming,ML1,2025-10-01,2026-01-31,3,2026-02-01,2,3,1.9609541892714717,2.4293525828638716
ET0308,crop_farming,ML1,2026-01-01,2026-01-31,0,2026-02-01,2,3,1.9609541892714717,2.4293525828638716
ET0308,crop_farming,ML2,2025-10-01,2026-05-31,7,2026-06-01,3,3,2.5292981207730865,3.0
