window,lhz,lead,zone_code,n,mae,rmse,r2,mae_baseline,rmse_baseline,r2_baseline
default,crop_farming,0,ET0710,9,1.012656331062317,1.2137311151765926,-4.320785999298096,0.6428766846656799,0.7990973282475419,-1.3063762187957764
default,crop_farming,0,ET0713,9,0.45306724309921265,0.6430132937384556,-0.9461700916290283,0.39761611819267273,0.585889025908302,-0.6157405376434326
default,crop_farming,0,ET0714,9,0.22676441073417664,0.2749860781700269,-0.2929997444152832,0.18749703466892242,0.25197236039419524,-0.0856325626373291
default,crop_farming,0,ET0715,9,0.7534964680671692,0.9207327927352109,-7.655200004577637,0.44592511653900146,0.5361665530957137,-1.9350085258483887
default,crop_farming,0,ET0716,9,0.3052910566329956,0.47889748731751736,-1.490600347518921,0.21967953443527222,0.4561112428024284,-1.259230136871338
default,crop_farming,0,ET0720,9,0.6559487581253052,0.8440133143093451,-5.586277961730957,0.46356555819511414,0.5194104276433671,-1.4943811893463135
default,crop_farming,0,ET0721,9,0.592321515083313,0.7287137986706972,-1.4603145122528076,0.5507039427757263,0.7362065708194645,-1.51116943359375
default,crop_farming,0,ET0722,9,0.80061936378479,0.8911209398750515,-2.4468772411346436,0.7540591359138489,0.8550555829614006,-2.1735198497772217
default,crop_farming,0,ET0723,9,0.7156953811645508,0.8384754834011553,-1.8754949569702148,0.6622588634490967,0.8064877270487816,-1.6602802276611328
default,crop_farming,0,ET0724,9,0.1390821635723114,0.14213481990898144,-86.84027099609375,0.01825123280286789,0.024564175451489253,-1.6235966682434082
default,crop_farming,0,ET1101,9,0.13495439291000366,0.13769333073698206,0.0,0.0,0.0,1.0
default,crop_farming,0,ET1102,9,0.1253519207239151,0.13359250296741282,-507992.15625,5.009439337300137e-05,0.00015028318032036584,0.35714292526245117
default,crop_farming,0,ET1103,9,0.13045351207256317,0.13455218537686486,-16045.9658203125,0.0005677540902979672,0.0012043883430473078,-0.28571438789367676
default,crop_farming,0,ET1104,9,0.5828682780265808,0.7216648208676785,-0.8210464715957642,0.5954776406288147,0.7282431248799651,-0.854397177696228
default,crop_farming,0,ET1105,9,0.12669485807418823,0.13466402729952617,-3.3128204345703125,0.0179299246519804,0.052077364082797714,0.35500526428222656
default,crop_farming,0,ET1106,9,0.12516605854034424,0.13681285208225039,-40.00828552246094,0.026804208755493164,0.032909637172578554,-1.3728158473968506
default,crop_farming,0,ET1202,9,0.7769324779510498,0.8405964162284992,-147.41307067871094,0.04802534356713295,0.08319457025830009,-0.45374107360839844
default,crop_farming,0,ET1203,9,0.19351808726787567,0.2087062964261617,-184087.75,0.0002600087027531117,0.0005515617632380681,-0.28571414947509766
default,crop_farming,0,ET1204,9,0.12672311067581177,0.13537685025950524,-296.9269104003906,0.005832009948790073,0.009421068180212284,-0.44285011291503906
default,crop_farming,0,ET1301,9,0.7331542372703552,0.7775776956749253,-892.1181640625,0.02707657590508461,0.03803102189934407,-1.136472463607788
default,crop_farming,0,ET1401,9,0.1999555081129074,0.21286014898703112,-5581330.0,4.8160552978515625e-05,0.00010216396079040713,-0.2857142686843872
default,crop_farming,0,ET1501,9,0.5973239541053772,0.6827723554599031,-7.092154502868652,0.15025150775909424,0.3193105518388407,-0.7698596715927124
default,crop_farming,0,ET1502,9,0.12761880457401276,0.18162044289970017,0.7653222680091858,0.12020659446716309,0.21454308018083224,0.6725300550460815
default,crop_farming,0,ET1600,9,0.598500669002533,0.7268689647499448,-2.7435097694396973,0.5233294367790222,0.5948764255167536,-1.507380485534668
default,crop_farming,1,ET0101,9,0.48385223746299744,0.7401197440333321,0.6640816926956177,0.4225214719772339,0.7902979102547169,0.6169888973236084
default,crop_farming,1,ET0102,9,0.5543060302734375,0.8572833876984497,0.5311307907104492,0.5292166471481323,0.9185656291189143,0.46170133352279663
default,crop_farming,1,ET0103,9,0.6491221189498901,0.8638566115040492,0.3821033239364624,0.6204403638839722,0.9139340302263808,0.30838847160339355
default,crop_farming,1,ET0104,9,0.5614034533500671,0.7098145471738002,0.46391403675079346,0.5836002826690674,0.760148449629372,0.3851892352104187
