pcode,year,month,ndvi,ndvi_anomaly,ndvi_lag1,ndvi_lag3,ndvi_lag6,ndvi_lag12,ndvi_anomaly_lag1,ndvi_anomaly_lag3,ndvi_anomaly_lag6,ndvi_anomaly_lag12
ET0712,2013,8,0.2785500101745128,-0.03615511784499337,0.2933900110423564,0.4087625131011008,0.3297500200569629,0.2908500127494334,-0.007605836591260018,-0.0159347684610458,0.013969551043754302,-0.02385511527007278
ET0712,2013,9,0.4026900216937065,0.011287731982090321,0.2785500101745128,0.3569875217974185,0.3355250179767608,0.3863000139594077,-0.03615511784499337,-0.006952383132143469,-0.0026690885424613398,-0.005102275752208452
ET0712,2013,10,0.4690000191330908,0.011781588332219484,0.4026900216937065,0.2933900110423564,0.3881500206887721,0.4958300292491911,0.011287731982090321,-0.007605836591260018,-0.013830593902440291,0.038611598448319795
ET0712,2013,11,0.4834625244140624,0.014380001479929183,0.4690000191330908,0.2785500101745128,0.4087625131011008,0.5105375260114668,0.011781588332219484,-0.03615511784499337,-0.0159347684610458,0.04145500307733363
ET0712,2013,12,0.4457900211215017,0.01753727339885436,0.4834625244140624,0.4026900216937065,0.3569875217974185,0.4725750237703323,0.014380001479929183,0.011287731982090321,-0.006952383132143469,0.04432227604768496
ET0712,2014,1,0.3432375133037567,-0.015091480958190795,0.4457900211215017,0.4690000191330908,0.2933900110423564,0.4003375142812728,0.01753727339885436,0.011781588332219484,-0.007605836591260018,0.04200852001932531
ET0712,2014,2,0.2803875096142291,-0.03539295939897952,0.3432375133037567,0.4834625244140624,0.2785500101745128,0.3297500200569629,-0.015091480958190795,0.014380001479929183,-0.03615511784499337,0.013969551043754302
ET0712,2014,3,0.3244600117206573,-0.013734094798564855,0.2803875096142291,0.4457900211215017,0.4026900216937065,0.3355250179767608,-0.03539295939897952,0.01753727339885436,0.011287731982090321,-0.0026690885424613398
ET0712,2014,4,0.4229500219225883,0.020969407331375922,0.3244600117206573,0.3432375133037567,0.4690000191330908,0.3881500206887721,-0.013734094798564855,-0.015091480958190795,0.011781588332219484,-0.013830593902440291
ET0712,2014,5,0.4592500120401381,0.03455273047799151,0.4229500219225883,0.2803875096142291,0.4834625244140624,0.4087625131011008,0.020969407331375922,-0.03539295939897952,0.014380001479929183,-0.0159347684610458
ET0712,2014,6,0.3983500190079211,0.034410114078359144,0.4592500120401381,0.3244600117206573,0.4457900211215017,0.3569875217974185,0.03455273047799151,-0.013734094798564855,0.01753727339885436,-0.006952383132143469
ET0712,2014,7,0.2977625153958797,-0.003233332237736697,0.3983500190079211,0.4229500219225883,0.3432375133037567,0.2933900110423564,0.034410114078359144,0.020969407331375922,-0.015091480958190795,-0.007605836591260018
ET0712,2014,8,0.2878750145435332,-0.026830113475972972,0.2977625153958797,0.4592500120401381,0.2803875096142291,0.2785500101745128,-0.003233332237736697,0.03455273047799151,-0.03539295939897952,-0.03615511784499337
ET0712,2014,9,0.3738500177860259,-0.01755227192559028,0.2878750145435332,0.3983500190079211,0.3244600117206573,0.4026900216937065,-0.026830113475972972,0.034410114078359144,-0.013734094798564855,0.011287731982090321
ET0712,2014,10,0.4561500191688536,-0.0010684116320177073,0.3738500177860259,0.2977625153958797,0.4229500219225883,0.4690000191330908,-0.01755227192559028,-0.003233332237736697,0.020969407331375922,0.011781588332219484
ET0712,2014,11,0.4736125200986861,0.004529997164552879,0.4561500191688536,0.2878750145435332,0.4592500120401381,0.4834625244140624,-0.0010684116320177073,-0.026830113475972972,0.03455273047799151,0.014380001479929183
ET0712,2014,12,0.4453000172972677,0.017047269574620383,0.4736125200986861,0.3738500177860259,0.3983500190079211,0.4457900211215017,0.004529997164552879,-0.01755227192559028,0.034410114078359144,0.01753727339885436
ET0712,2015,1,0.3541375219821929,-0.004191472279754582,0.4453000172972677,0.4561500191688536,0.2977625153958797,0.3432375133037567,0.017047269574620383,-0.0010684116320177073,-0.003233332237736697,-0.015091480958190795
ET0712,2015,2,0.2765000149607657,-0.039280454052442904,0.3541375219821929,0.4736125200986861,0.2878750145435332,0.2803875096142291,-0.004191472279754582,0.004529997164552879,-0.026830113475972972,-0.03539295939897952
ET0712,2015,3,0.269420014321804,-0.06877409219741815,0.2765000149607657,0.4453000172972677,0.3738500177860259,0.3244600117206573,-0.039280454052442904,0.017047269574620383,-0.01755227192559028,-0.013734094798564855
