year,month,exchange_rate,exchange_rate_lag1,exchange_rate_lag3,exchange_rate_lag6,exchange_rate_lag12,exchange_rate_yoy_change,exchange_rate_yoy_change_lag1,exchange_rate_yoy_change_lag3,exchange_rate_yoy_change_lag6,exchange_rate_yoy_change_lag12
2014,2,19.215,19.09,18.975,18.77,18.33,0.048281505728314356,0.041632563976646386,0.04770581414609909,0.04819344390461833,0.053448275862068906
2014,3,19.288,19.215,19.0,18.826,18.409,0.04774838394263692,0.048281505728314356,0.0448746150461945,0.04804319991092809,0.05859689476710739
2014,4,19.57,19.288,19.09,18.892,18.493,0.05823825231168556,0.04774838394263692,0.041632563976646386,0.047518713612420216,0.05433295324971499
2014,5,19.465,19.57,19.215,18.975,18.573,0.04802670543261711,0.05823825231168556,0.048281505728314356,0.04770581414609909,0.05122254924156677
2014,6,19.5,19.465,19.288,19.0,18.643,0.045968996406157814,0.04802670543261711,0.04774838394263692,0.0448746150461945,0.05149464184997177
2014,7,19.92,19.5,19.57,19.09,18.708,0.06478511866581149,0.045968996406157814,0.05823825231168556,0.041632563976646386,0.048772283888328216
2014,8,19.775,19.92,19.465,19.215,18.77,0.05354288758657422,0.06478511866581149,0.04802670543261711,0.048281505728314356,0.04819344390461833
2014,9,20.11,19.775,19.5,19.288,18.826,0.06820354828428754,0.05354288758657422,0.045968996406157814,0.04774838394263692,0.04804319991092809
2014,10,20.15,20.11,19.92,19.57,18.892,0.0665890323946643,0.06820354828428754,0.06478511866581149,0.05823825231168556,0.047518713612420216
2014,11,20.25,20.15,19.775,19.465,18.975,0.0671936758893279,0.0665890323946643,0.05354288758657422,0.04802670543261711,0.04770581414609909
2014,12,20.325,20.25,20.11,19.5,19.0,0.0697368421052631,0.0671936758893279,0.06820354828428754,0.045968996406157814,0.0448746150461945
2015,1,20.405,20.325,20.15,19.92,19.09,0.06888423258250409,0.0697368421052631,0.0665890323946643,0.06478511866581149,0.041632563976646386
2015,2,20.51,20.405,20.25,19.775,19.215,0.06739526411657559,0.06888423258250409,0.0671936758893279,0.05354288758657422,0.048281505728314356
2015,3,20.52,20.51,20.325,20.11,19.288,0.06387391124014918,0.06739526411657559,0.0697368421052631,0.06820354828428754,0.04774838394263692
2015,4,20.575,20.52,20.405,20.15,19.57,0.05135411343893703,0.06387391124014918,0.06888423258250409,0.0665890323946643,0.05823825231168556
2015,5,20.58,20.575,20.51,20.25,19.465,0.05728230156691483,0.05135411343893703,0.06739526411657559,0.0671936758893279,0.04802670543261711
2015,6,20.754,20.58,20.52,20.325,19.5,0.0643076923076924,0.05728230156691483,0.06387391124014918,0.0697368421052631,0.045968996406157814
2015,7,20.98,20.754,20.575,20.405,19.92,0.053212851405622486,0.0643076923076924,0.05135411343893703,0.06888423258250409,0.06478511866581149
2015,8,20.8415,20.98,20.58,20.51,19.775,0.05393173198482937,0.053212851405622486,0.05728230156691483,0.06739526411657559,0.05354288758657422
2015,9,21.085,20.8415,20.754,20.52,20.11,0.04848334162108414,0.05393173198482937,0.0643076923076924,0.06387391124014918,0.06820354828428754
2015,10,21.155,21.085,20.98,20.575,20.15,0.04987593052109185,0.04848334162108414,0.053212851405622486,0.05135411343893703,0.0665890323946643
2015,11,20.9469,21.155,20.8415,20.58,20.25,0.034414814814814676,0.04987593052109185,0.05393173198482937,0.05728230156691483,0.0671936758893279
2015,12,21.26,20.9469,21.085,20.754,20.325,0.04600246002460029,0.034414814814814676,0.04848334162108414,0.0643076923076924,0.0697368421052631
2016,1,21.3655,21.26,21.155,20.98,20.405,0.047071796128399956,0.04600246002460029,0.04987593052109185,0.053212851405622486,0.06888423258250409
2016,2,21.3905,21.3655,20.9469,20.8415,20.51,0.04293027791321302,0.047071796128399956,0.034414814814814676,0.05393173198482937,0.06739526411657559
2016,3,21.5854,21.3905,21.26,21.085,20.52,0.05192007797270959,0.04293027791321302,0.04600246002460029,0.04848334162108414,0.06387391124014918
2016,4,21.6504,21.5854,21.3655,21.155,20.575,0.05226731470230872,0.05192007797270959,0.047071796128399956,0.04987593052109185,0.05135411343893703
2016,5,21.6712,21.6504,21.3905,20.9469,20.58,0.05302235179786208,0.05226731470230872,0.04293027791321302,0.034414814814814676,0.05728230156691483
2016,6,22.0452,21.6712,21.5854,21.26,20.754,0.0622145128649898,0.05302235179786208,0.05192007797270959,0.04600246002460029,0.0643076923076924
2016,7,22.0913,22.0452,21.6504,21.3655,20.98,0.05296949475691126,0.0622145128649898,0.05226731470230872,0.047071796128399956,0.053212851405622486
2016,8,22.13,22.0913,21.6712,21.3905,20.8415,0.061823765084086935,0.05296949475691126,0.05302235179786208,0.04293027791321302,0.05393173198482937
2016,9,22.18,22.13,22.0452,21.5854,21.085,0.05193265354517429,0.061823765084086935,0.0622145128649898,0.05192007797270959,0.04848334162108414
2016,10,22.3889,22.18,22.0913,21.6504,21.155,0.0583266367289057,0.05193265354517429,0.05296949475691126,0.05226731470230872,0.04987593052109185
2016,11,22.5441,22.3889,22.13,21.6712,20.9469,0.07624994629276882,0.0583266367289057,0.061823765084086935,0.05302235179786208,0.034414814814814676
2016,12,22.4,22.5441,22.18,22.0452,21.26,0.05362182502351831,0.07624994629276882,0.05193265354517429,0.0622145128649898,0.04600246002460029
2017,1,22.69,22.4,22.3889,22.0913,21.3655,0.061992464487140575,0.05362182502351831,0.0583266367289057,0.05296949475691126,0.047071796128399956
2017,2,22.67,22.69,22.5441,22.13,21.3905,0.05981627357939279,0.061992464487140575,0.07624994629276882,0.061823765084086935,0.04293027791321302
2017,3,22.955,22.67,22.4,22.18,21.5854,0.06345029510687783,0.05981627357939279,0.05362182502351831,0.05193265354517429,0.05192007797270959
2017,4,23.1247,22.955,22.69,22.3889,21.6504,0.06809573957063142,0.06345029510687783,0.061992464487140575,0.0583266367289057,0.05226731470230872
2017,5,23.2188,23.1247,22.67,22.5441,21.6712,0.07141275056295937,0.06809573957063142,0.05981627357939279,0.07624994629276882,0.05302235179786208
2017,6,23.3258,23.2188,22.955,22.4,22.0452,0.05808974289187674,0.07141275056295937,0.06345029510687783,0.05362182502351831,0.0622145128649898
2017,7,23.41,23.3258,23.1247,22.69,22.0913,0.05969318238401544,0.05808974289187674,0.06809573957063142,0.061992464487140575,0.05296949475691126
2017,8,23.55,23.41,23.2188,22.67,22.13,0.06416629010393149,0.05969318238401544,0.07141275056295937,0.05981627357939279,0.061823765084086935
2017,9,23.591,23.55,23.3258,22.955,22.18,0.0636158701532914,0.06416629010393149,0.05808974289187674,0.06345029510687783,0.05193265354517429
2017,10,27.2747,23.591,23.41,23.1247,22.3889,0.21822420931801023,0.0636158701532914,0.05969318238401544,0.06809573957063142,0.0583266367289057
2017,11,27.382,27.2747,23.55,23.2188,22.5441,0.2145971673298115,0.21822420931801023,0.06416629010393149,0.07141275056295937,0.07624994629276882
2017,12,27.41,27.382,23.591,23.3258,22.4,0.22366071428571432,0.2145971673298115,0.0636158701532914,0.05808974289187674,0.05362182502351831
2018,1,27.2229,27.41,27.2747,23.41,22.69,0.1997752313794623,0.22366071428571432,0.21822420931801023,0.05969318238401544,0.061992464487140575
2018,2,27.2285,27.2229,27.382,23.55,22.67,0.20108072342302585,0.1997752313794623,0.2145971673298115,0.06416629010393149,0.05981627357939279
2018,3,27.2399,27.2285,27.41,23.591,22.955,0.18666521455020701,0.20108072342302585,0.22366071428571432,0.0636158701532914,0.06345029510687783
2018,4,27.5177,27.2399,27.2229,27.2747,23.1247,0.18997003204365903,0.18666521455020701,0.1997752313794623,0.21822420931801023,0.06809573957063142
2018,5,27.5205,27.5177,27.2285,27.382,23.2188,0.1852679725050388,0.18997003204365903,0.20108072342302585,0.2145971673298115,0.07141275056295937
2018,6,27.5261,27.5205,27.2399,27.41,23.3258,0.18007099434960416,0.1852679725050388,0.18666521455020701,0.22366071428571432,0.05808974289187674
2018,7,27.3703,27.5261,27.5177,27.2229,23.41,0.16917129431866718,0.18007099434960416,0.18997003204365903,0.1997752313794623,0.05969318238401544
2018,8,27.4849,27.3703,27.5205,27.2285,23.55,0.16708704883227177,0.16917129431866718,0.1852679725050388,0.20108072342302585,0.06416629010393149
2018,9,27.5889,27.4849,27.5261,27.2399,23.591,0.16946716968335362,0.16708704883227177,0.18007099434960416,0.18666521455020701,0.0636158701532914
2018,10,27.7353,27.5889,27.3703,27.5177,27.2747,0.016887445141468005,0.16946716968335362,0.16917129431866718,0.18997003204365903,0.21822420931801023
2018,11,27.8813,27.7353,27.4849,27.5205,27.382,0.018234606675918474,0.016887445141468005,0.16708704883227177,0.1852679725050388,0.2145971673298115
2018,12,28.2017,27.8813,27.5889,27.5261,27.41,0.02888361911711046,0.018234606675918474,0.16946716968335362,0.18007099434960416,0.22366071428571432
2019,1,28.5676,28.2017,27.7353,27.3703,27.2229,0.04939591299971724,0.02888361911711046,0.016887445141468005,0.16917129431866718,0.1997752313794623
2019,2,28.585,28.5676,27.8813,27.4849,27.2285,0.049819123345024474,0.04939591299971724,0.018234606675918474,0.16708704883227177,0.20108072342302585
2019,3,28.64,28.585,28.2017,27.5889,27.2399,0.051398867103036316,0.049819123345024474,0.02888361911711046,0.16946716968335362,0.18666521455020701
2019,4,28.9692,28.64,28.5676,27.7353,27.5177,0.0527478677360389,0.051398867103036316,0.04939591299971724,0.016887445141468005,0.18997003204365903
2019,5,29.172,28.9692,28.585,27.8813,27.5205,0.06000981086826185,0.0527478677360389,0.049819123345024474,0.018234606675918474,0.1852679725050388
2019,6,29.05,29.172,28.64,28.2017,27.5261,0.055362001881850365,0.06000981086826185,0.051398867103036316,0.02888361911711046,0.18007099434960416
2019,7,29.0598,29.05,28.9692,28.5676,27.3703,0.06172749293942692,0.055362001881850365,0.0527478677360389,0.04939591299971724,0.16917129431866718
2019,8,29.1524,29.0598,29.172,28.585,27.4849,0.06066967680435442,0.06172749293942692,0.06000981086826185,0.049819123345024474,0.16708704883227177
2019,9,29.33,29.1524,29.05,28.64,27.5889,0.06310871401179452,0.06066967680435442,0.055362001881850365,0.051398867103036316,0.16946716968335362
2019,10,29.7,29.33,29.0598,28.9692,27.7353,0.07083752474283678,0.06310871401179452,0.06172749293942692,0.0527478677360389,0.016887445141468005
2019,11,30.6158,29.7,29.1524,29.172,27.8813,0.09807648854249984,0.07083752474283678,0.06066967680435442,0.06000981086826185,0.018234606675918474
2019,12,31.84,30.6158,29.33,29.05,28.2017,0.12900995330068765,0.09807648854249984,0.06310871401179452,0.055362001881850365,0.02888361911711046
2020,1,31.89,31.84,29.7,29.0598,28.5676,0.11629958414427533,0.12900995330068765,0.07083752474283678,0.06172749293942692,0.04939591299971724
2020,2,32.2,31.89,30.6158,29.1524,28.585,0.1264649291586497,0.11629958414427533,0.09807648854249984,0.06066967680435442,0.049819123345024474
2020,3,33.1253,32.2,31.84,29.33,28.64,0.15660963687150842,0.1264649291586497,0.12900995330068765,0.06310871401179452,0.051398867103036316
2020,4,33.3631,33.1253,31.89,29.7,28.9692,0.15167488228877568,0.15660963687150842,0.11629958414427533,0.07083752474283678,0.0527478677360389
2020,5,33.932,33.3631,32.2,30.6158,29.172,0.1631701631701632,0.15167488228877568,0.1264649291586497,0.09807648854249984,0.06000981086826185
2020,6,35.2106,33.932,33.1253,31.84,29.05,0.2120688468158347,0.1631701631701632,0.15660963687150842,0.12900995330068765,0.055362001881850365
2020,7,35.1413,35.2106,33.3631,31.89,29.0598,0.20927535633418004,0.2120688468158347,0.15167488228877568,0.11629958414427533,0.06172749293942692
2020,8,36.6318,35.1413,33.932,32.2,29.1524,0.25656206693102446,0.20927535633418004,0.1631701631701632,0.1264649291586497,0.06066967680435442
2020,9,36.7223,36.6318,35.2106,33.1253,29.33,0.25203886805318776,0.25656206693102446,0.2120688468158347,0.15660963687150842,0.06310871401179452
2020,10,38.006,36.7223,35.1413,33.3631,29.7,0.2796632996632997,0.25203886805318776,0.20927535633418004,0.15167488228877568,0.07083752474283678
2020,11,38.0516,38.006,36.6318,33.932,30.6158,0.24287459416379775,0.2796632996632997,0.25656206693102446,0.1631701631701632,0.09807648854249984
2020,12,39.1809,38.0516,36.7223,35.2106,31.84,0.2305559045226131,0.24287459416379775,0.25203886805318776,0.2120688468158347,0.12900995330068765
2021,1,39.4355,39.1809,38.006,35.1413,31.89,0.23661022264032594,0.2305559045226131,0.2796632996632997,0.20927535633418004,0.11629958414427533
2021,2,40.3518,39.4355,38.0516,36.6318,32.2,0.2531614906832296,0.23661022264032594,0.24287459416379775,0.25656206693102446,0.1264649291586497
