pcode,year,month,ndvi_cropland,ndvi_cropland_anomaly,ndvi_cropland_lag1,ndvi_cropland_lag3,ndvi_cropland_lag6,ndvi_cropland_lag12,ndvi_cropland_anomaly_lag1,ndvi_cropland_anomaly_lag3,ndvi_cropland_anomaly_lag6,ndvi_cropland_anomaly_lag12
ET0413,2014,7,0.292489230632782,-0.006095804274082128,0.3185265362262726,0.2420476227998733,0.2459305822849273,0.283970445394516,0.03376375409689819,0.021761316628683164,-0.017690026624636257,-0.01461458951234812
ET0413,2014,8,0.2793374359607696,-0.045781692320650325,0.292489230632782,0.2924816310405731,0.2093128710985183,0.3010849356651306,-0.006095804274082128,0.03802001050540377,-0.01604979688471017,-0.024034192616289307
ET0413,2014,9,0.3349509239196777,-0.04327248849652038,0.2793374359607696,0.3185265362262726,0.2042480707168579,0.3582144379615783,-0.045781692320650325,0.03376375409689819,-0.0029820440845055585,-0.020008974454619743
ET0413,2014,10,0.3952057659626007,-0.02322622456333856,0.3349509239196777,0.292489230632782,0.2420476227998733,0.4074285328388214,-0.04327248849652038,-0.006095804274082128,0.021761316628683164,-0.011003457687117857
ET0413,2014,11,0.3785305619239807,-0.008784319866787293,0.3952057659626007,0.2793374359607696,0.2924816310405731,0.3941148519515991,-0.02322622456333856,-0.045781692320650325,0.03802001050540377,0.006799970160831115
ET0413,2014,12,0.3092188239097595,-0.01197442547841504,0.3785305619239807,0.3349509239196777,0.3185265362262726,0.3213930130004883,-0.008784319866787293,-0.04327248849652038,0.03376375409689819,0.0001997636123137192
ET0413,2015,1,0.2463549375534057,-0.017265671356157863,0.3092188239097595,0.3952057659626007,0.292489230632782,0.2459305822849273,-0.01197442547841504,-0.02322622456333856,-0.006095804274082128,-0.017690026624636257
ET0413,2015,2,0.2093621492385864,-0.01600051874464206,0.2463549375534057,0.3785305619239807,0.2793374359607696,0.2093128710985183,-0.017265671356157863,-0.008784319866787293,-0.045781692320650325,-0.01604979688471017
ET0413,2015,3,0.1867397725582122,-0.02049034224315127,0.2093621492385864,0.3092188239097595,0.3349509239196777,0.2042480707168579,-0.01600051874464206,-0.01197442547841504,-0.04327248849652038,-0.0029820440845055585
ET0413,2015,4,0.1951265931129455,-0.02515971305824463,0.1867397725582122,0.2463549375534057,0.3952057659626007,0.2420476227998733,-0.02049034224315127,-0.017265671356157863,-0.02322622456333856,0.021761316628683164
ET0413,2015,5,0.2300167381763458,-0.024444882358823555,0.1951265931129455,0.2093621492385864,0.3785305619239807,0.2924816310405731,-0.02515971305824463,-0.01600051874464206,-0.008784319866787293,0.03802001050540377
