year,month,wvg,wvg_undated,wvg_lag1yr,wvg_lag2yr,wvg_lag3yr
2021,10,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
2021,11,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
2021,12,-1.3121905,-1.3121905,-0.1306502,0.8552703,-0.82223505
2022,1,-1.3121905,-2.2596254,-0.1306502,0.8552703,-0.82223505
2022,2,-1.3121905,-2.2596254,-0.1306502,0.8552703,-0.82223505
2022,3,-1.3121905,-2.2596254,-0.1306502,0.8552703,-0.82223505
2022,4,-1.3121905,-2.2596254,-0.1306502,0.8552703,-0.82223505
2022,5,-1.3121905,-2.2596254,-0.1306502,0.8552703,-0.82223505
2022,6,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2022,7,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2022,8,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2022,9,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2022,10,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2022,11,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2022,12,-2.2596254,-2.2596254,-1.3121905,-0.1306502,0.8552703
2023,1,-2.2596254,-0.1903793,-1.3121905,-0.1306502,0.8552703
2023,2,-2.2596254,-0.1903793,-1.3121905,-0.1306502,0.8552703
2023,3,-2.2596254,-0.1903793,-1.3121905,-0.1306502,0.8552703
2023,4,-2.2596254,-0.1903793,-1.3121905,-0.1306502,0.8552703
2023,5,-2.2596254,-0.1903793,-1.3121905,-0.1306502,0.8552703
2023,6,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
2023,7,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
2023,8,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
2023,9,-0.1903793,-0.1903793,-2.2596254,-1.3121905,-0.1306502
