subject,cluster,lead,zone_code,time,top1_feature,rho
xgboost,pastoral,1,ET0511,2020-02-01,ipc_lag1,0.9941392784269838
xgboost,pastoral,1,ET0201,2020-06-01,ipc_lag1,0.9847032029139745
xgboost,pastoral,1,ET0202,2020-06-01,ipc_lag1,0.9889287796816697
xgboost,pastoral,1,ET0203,2020-06-01,ipc_lag1,0.9792103017609185
xgboost,pastoral,1,ET0204,2020-06-01,ha_share_lag1,0.9958546115703057
xgboost,pastoral,1,ET0205,2020-06-01,ipc_lag1,0.9849193627816291
xgboost,pastoral,1,ET0411,2020-06-01,ipc_lag1,0.9812603340541569
xgboost,pastoral,1,ET0412,2020-06-01,ipc_lag1,0.9838507660165311
xgboost,pastoral,1,ET0414,2020-06-01,ipc_lag1,0.9837810370269652
xgboost,pastoral,1,ET0415,2020-06-01,ipc_lag1,0.987213446538348
xgboost,pastoral,1,ET0421,2020-06-01,ipc_lag1,0.9811714295924602
xgboost,pastoral,1,ET0501,2020-06-01,ipc_lag1,0.9869693950748673
xgboost,pastoral,1,ET0503,2020-06-01,ipc_lag1,0.9847415538582358
xgboost,pastoral,1,ET0504,2020-06-01,ipc_lag1,0.9913745239906949
xgboost,pastoral,1,ET0505,2020-06-01,ipc_lag1,0.9875760372840908
xgboost,pastoral,1,ET0506,2020-06-01,ha_share_lag1,0.9996042879842135
xgboost,pastoral,1,ET0507,2020-06-01,ipc_lag1,0.985390033461199
xgboost,pastoral,1,ET0508,2020-06-01,ipc_lag1,0.9850989149297611
xgboost,pastoral,1,ET0509,2020-06-01,ipc_lag1,0.9865998314301678
xgboost,pastoral,1,ET0510,2020-06-01,ipc_lag1,0.9871541768972171
xgboost,pastoral,1,ET0511,2020-06-01,months_since_lean_start,0.9967262239398799
xgboost,pastoral,1,ET0201,2020-10-01,ha_share_lag1,0.9996897059964317
xgboost,pastoral,1,ET0202,2020-10-01,ipc_lag1,0.9893942206870224
xgboost,pastoral,1,ET0203,2020-10-01,ipc_lag1,0.9864534005520794
xgboost,pastoral,1,ET0204,2020-10-01,ipc_lag1,0.9843563011908842
xgboost,pastoral,1,ET0205,2020-10-01,ipc_lag1,0.9858781363881606
xgboost,pastoral,1,ET0411,2020-10-01,ipc_lag1,0.9853708579890683
xgboost,pastoral,1,ET0412,2020-10-01,ha_share_lag1,0.9996408957037356
xgboost,pastoral,1,ET0414,2020-10-01,ipc_lag1,0.982979153646957
xgboost,pastoral,1,ET0415,2020-10-01,ha_share_lag1,0.9999529329320432
xgboost,pastoral,1,ET0421,2020-10-01,ipc_lag1,0.9885487566885356
xgboost,pastoral,1,ET0501,2020-10-01,ipc_lag1,0.9854179250570254
xgboost,pastoral,1,ET0503,2020-10-01,ipc_lag1,0.9842708831786658
xgboost,pastoral,1,ET0504,2020-10-01,ipc_lag1,0.9907539359835581
xgboost,pastoral,1,ET0505,2020-10-01,ipc_lag1,0.9890037383454533
xgboost,pastoral,1,ET0506,2020-10-01,ipc_lag1,0.9908794481647766
xgboost,pastoral,1,ET0507,2020-10-01,ipc_lag1,0.9940486307405481
xgboost,pastoral,1,ET0508,2020-10-01,ipc_lag1,0.9848199989714974
xgboost,pastoral,1,ET0509,2020-10-01,ipc_lag1,0.986331374820339
xgboost,pastoral,1,ET0510,2020-10-01,ipc_lag1,0.9930828842350601
xgboost,pastoral,1,ET0511,2020-10-01,ipc_lag1,0.992777819905709
xgboost,pastoral,1,ET0201,2021-02-01,ha_share_lag1,0.9997960427055198
xgboost,pastoral,1,ET0202,2021-02-01,ipc_lag1,0.9920665842121366
