combo,subset,lead,n,accuracy,f1_weighted,mae,r2
XGB+RF,agropastoral,4,45,0.6444444444444445,0.5792063492063492,0.43146481714754487,0.21956031888767202
XGB+RF,agropastoral,8,45,0.6888888888888889,0.5879032258064516,0.3672840656871501,0.3561397131521741
XGB+RF,agropastoral,12,45,0.7111111111111111,0.635697772173182,0.40574925711172044,0.2595511659745333
XGB+RF,crop_farming,0,603,0.7645107794361525,0.7560492046414252,0.268343140276574,0.7049128288718467
XGB+RF,crop_farming,1,603,0.7728026533996684,0.7643400479952488,0.2695122360051539,0.6983939005749371
XGB+RF,crop_farming,2,603,0.7678275290215588,0.7622205769542395,0.2699044691861762,0.704077637340072
XGB+RF,crop_farming,3,603,0.7645107794361525,0.7586970104873957,0.26988646922877957,0.7090133104480738
XGB+RF,crop_farming,4,603,0.736318407960199,0.7145566266400588,0.30986087603422896,0.6195349619647315
XGB+RF,crop_farming,8,603,0.6882255389718076,0.6645046520517772,0.3822248373734357,0.4146634030215589
XGB+RF,crop_farming,12,603,0.6948590381426202,0.6560067685392454,0.3767355357864944,0.4108095547377416
