zone_code,lead,target_month,lstm_pred
ET0505,4,2026-10,3.1325769424438477
ET0506,4,2026-10,3.1681225299835205
ET0507,4,2026-10,3.181507110595703
ET0508,4,2026-10,3.190565824508667
ET0509,4,2026-10,3.367607593536377
ET0510,4,2026-10,3.1807758808135986
ET0511,4,2026-10,2.4216325283050537
ET0602,4,2026-10,1.2577108144760132
ET0603,4,2026-10,1.620439052581787
ET0604,4,2026-10,1.228761076927185
ET0605,4,2026-10,1.2634015083312988
ET0701,4,2026-10,1.865929365158081
ET0702,4,2026-10,1.7155909538269043
ET0703,4,2026-10,2.3834431171417236
ET0705,4,2026-10,2.5656802654266357
ET0706,4,2026-10,3.0237929821014404
ET0707,4,2026-10,2.2134530544281006
ET0710,4,2026-10,3.1581311225891113
ET0712,4,2026-10,3.1754989624023438
ET0713,4,2026-10,3.1814961433410645
ET0714,4,2026-10,1.311127781867981
ET0715,4,2026-10,2.3212859630584717
ET0716,4,2026-10,1.2240467071533203
ET0720,4,2026-10,1.9402509927749634
ET0721,4,2026-10,3.1829493045806885
ET0722,4,2026-10,3.1840322017669678
ET0723,4,2026-10,3.1869797706604004
ET0724,4,2026-10,1.1915191411972046
ET1101,4,2026-10,1.191361665725708
ET1102,4,2026-10,1.1927154064178467
ET1103,4,2026-10,1.1913188695907593
ET1104,4,2026-10,1.2139400243759155
ET1105,4,2026-10,1.1950515508651733
ET1106,4,2026-10,1.1980351209640503
ET1201,4,2026-10,1.1670299768447876
ET1202,4,2026-10,1.5174996852874756
ET1203,4,2026-10,1.1673200130462646
ET1204,4,2026-10,1.1903398036956787
ET1301,4,2026-10,1.6092350482940674
ET1401,4,2026-10,1.1913707256317139
ET1501,4,2026-10,1.7331809997558594
ET1502,4,2026-10,1.9805707931518555
ET1600,4,2026-10,2.4096620082855225
ET0101,8,2027-02,2.397120952606201
ET0102,8,2027-02,2.773329257965088
ET0103,8,2027-02,2.435209274291992
ET0104,8,2027-02,2.328428268432617
ET0105,8,2027-02,1.335505723953247
ET0106,8,2027-02,2.612311601638794
ET0107,8,2027-02,2.3202357292175293
ET0201,8,2027-02,2.9805312156677246
ET0202,8,2027-02,3.0223374366760254
ET0203,8,2027-02,2.9139256477355957
ET0204,8,2027-02,3.6225082874298096
ET0205,8,2027-02,2.617542028427124
ET0301,8,2027-02,3.014141798019409
ET0302,8,2027-02,1.9690024852752686
ET0303,8,2027-02,2.237595319747925
ET0304,8,2027-02,2.1265149116516113
ET0305,8,2027-02,1.8331537246704102
ET0306,8,2027-02,0.9102878570556641
ET0307,8,2027-02,1.3645927906036377
ET0308,8,2027-02,2.981367826461792
ET0309,8,2027-02,1.459428310394287
ET0310,8,2027-02,1.7581437826156616
ET0311,8,2027-02,1.7154347896575928
ET0312,8,2027-02,1.333852767944336
ET0401,8,2027-02,1.388841152191162
ET0402,8,2027-02,1.3932678699493408
ET0403,8,2027-02,1.1373263597488403
ET0404,8,2027-02,1.4191974401474
ET0405,8,2027-02,1.5707693099975586
ET0406,8,2027-02,1.598526954650879
ET0407,8,2027-02,1.8238998651504517
ET0408,8,2027-02,1.5511342287063599
ET0409,8,2027-02,3.2080044746398926
ET0410,8,2027-02,2.9209368228912354
ET0411,8,2027-02,2.2442524433135986
ET0412,8,2027-02,2.7362446784973145
ET0413,8,2027-02,1.5481481552124023
ET0414,8,2027-02,2.074561834335327
ET0415,8,2027-02,1.6765646934509277
ET0416,8,2027-02,1.1683924198150635
ET0417,8,2027-02,1.879895567893982
ET0418,8,2027-02,1.2249187231063843
ET0419,8,2027-02,1.5016701221466064
ET0420,8,2027-02,1.5902963876724243
ET0421,8,2027-02,2.451789617538452
ET0501,8,2027-02,2.354220390319824
ET0502,8,2027-02,2.229994773864746
ET0503,8,2027-02,3.3427159786224365
ET0504,8,2027-02,3.549849033355713
ET0505,8,2027-02,3.078185796737671
ET0506,8,2027-02,3.2997562885284424
ET0507,8,2027-02,3.4721102714538574
ET0508,8,2027-02,3.3217272758483887
ET0509,8,2027-02,3.2836923599243164
ET0510,8,2027-02,3.577427387237549
ET0511,8,2027-02,2.879192352294922
ET0602,8,2027-02,1.1005829572677612
ET0603,8,2027-02,1.4713674783706665
ET0604,8,2027-02,1.2561302185058594
ET0605,8,2027-02,1.1995187997817993
ET0701,8,2027-02,1.7751827239990234
ET0702,8,2027-02,1.8632524013519287
ET0703,8,2027-02,2.74314546585083
ET0705,8,2027-02,2.4155240058898926
ET0706,8,2027-02,2.4037044048309326
ET0707,8,2027-02,2.5606536865234375
ET0710,8,2027-02,3.2320175170898438
ET0712,8,2027-02,3.559356451034546
ET0713,8,2027-02,3.6691341400146484
ET0714,8,2027-02,1.6648852825164795
ET0715,8,2027-02,2.4703969955444336
ET0716,8,2027-02,1.5844032764434814
ET0720,8,2027-02,2.025218963623047
ET0721,8,2027-02,3.0412375926971436
ET0722,8,2027-02,3.445587396621704
ET0723,8,2027-02,3.3996291160583496
ET0724,8,2027-02,1.562995195388794
ET1101,8,2027-02,1.4974685907363892
ET1102,8,2027-02,1.490559458732605
ET1103,8,2027-02,1.177522897720337
ET1104,8,2027-02,1.5674158334732056
ET1105,8,2027-02,1.376423954963684
ET1106,8,2027-02,1.5268445014953613
ET1201,8,2027-02,1.2616735696792603
ET1202,8,2027-02,1.6200637817382812
ET1203,8,2027-02,0.8782961964607239
ET1204,8,2027-02,1.236440658569336
ET1301,8,2027-02,1.7292615175247192
ET1401,8,2027-02,1.4704253673553467
ET1501,8,2027-02,1.57206130027771
ET1502,8,2027-02,1.9716668128967285
ET1600,8,2027-02,1.7992274761199951
ET0101,12,2027-06,2.530876398086548
ET0102,12,2027-06,2.710282325744629
ET0103,12,2027-06,3.019826650619507
ET0104,12,2027-06,2.8244364261627197
ET0105,12,2027-06,0.9718723297119141
ET0106,12,2027-06,2.2662734985351562
ET0107,12,2027-06,2.6424920558929443
ET0201,12,2027-06,2.6638691425323486
ET0202,12,2027-06,2.938673257827759
ET0203,12,2027-06,2.900550127029419
ET0204,12,2027-06,3.588956356048584
ET0205,12,2027-06,2.5662612915039062
ET0301,12,2027-06,2.7464182376861572
ET0302,12,2027-06,1.7460274696350098
ET0303,12,2027-06,2.313558578491211
ET0304,12,2027-06,2.3839643001556396
ET0305,12,2027-06,1.8516316413879395
ET0306,12,2027-06,1.1973159313201904
ET0307,12,2027-06,0.7139892578125
ET0308,12,2027-06,2.7855851650238037
ET0309,12,2027-06,0.698793888092041
ET0310,12,2027-06,1.7977666854858398
ET0311,12,2027-06,0.8267461657524109
ET0312,12,2027-06,1.009588360786438
