zone_code,lead,target_month,cluster,xgb_pred,rf_pred
ET0510,1,2026-07,pastoral,2.861608060665265,2.9772927568599417
ET0511,1,2026-07,pastoral,2.513330082431371,2.5924098828710815
ET0410,1,2026-07,agropastoral,2.3612776389339984,2.2225554928841373
ET0502,1,2026-07,agropastoral,2.0553242294291,1.8857547036337616
ET0707,1,2026-07,agropastoral,1.9533402570609293,1.904571668984671
ET0712,1,2026-07,agropastoral,2.3856800839973418,2.669205928378441
ET1201,1,2026-07,agropastoral,1.0704884007573128,1.1056431008020249
ET0101,1,2026-07,crop_farming,2.360097188958463,2.31337909794095
ET0102,1,2026-07,crop_farming,2.459530943436594,2.632421023563822
ET0103,1,2026-07,crop_farming,2.4268532652187895,2.459061258408622
ET0104,1,2026-07,crop_farming,2.523560608338419,2.5370039534192435
ET0105,1,2026-07,crop_farming,1.3226492022939458,1.3516663649809537
ET0106,1,2026-07,crop_farming,2.55777287558657,2.434220559262127
ET0107,1,2026-07,crop_farming,2.176138907670974,2.065667597094233
ET0301,1,2026-07,crop_farming,2.512117166905307,2.4869139395343067
ET0302,1,2026-07,crop_farming,1.637593823744693,1.4873986133085726
ET0303,1,2026-07,crop_farming,2.4389476368418372,2.356090323167167
ET0304,1,2026-07,crop_farming,1.9088906313468377,2.000206815460861
ET0305,1,2026-07,crop_farming,1.372177859218731,1.4000047733164416
ET0306,1,2026-07,crop_farming,1.0460450431928485,1.0282855678526936
ET0307,1,2026-07,crop_farming,1.031055660293692,1.0087754359690049
ET0308,1,2026-07,crop_farming,2.516163954011504,2.5282917128610367
ET0309,1,2026-07,crop_farming,1.0308076888322832,1.007448014602169
ET0310,1,2026-07,crop_farming,1.9151824882519315,1.964962583140124
ET0311,1,2026-07,crop_farming,1.2423393914094154,1.2491114645763866
ET0312,1,2026-07,crop_farming,1.0308076888322832,1.007884963705056
ET0401,1,2026-07,crop_farming,1.2792340252282954,1.2752545091559322
ET0402,1,2026-07,crop_farming,1.2483990846179547,1.2444634374204895
ET0403,1,2026-07,crop_farming,1.030807688832283,1.0074480146021687
ET0404,1,2026-07,crop_farming,1.0308076888322832,1.007884963705056
ET0405,1,2026-07,crop_farming,1.0308076888322832,1.007448014602169
ET0406,1,2026-07,crop_farming,1.080280394246701,1.1378815766579702
ET0407,1,2026-07,crop_farming,1.3262329781889473,1.321095983370018
ET0408,1,2026-07,crop_farming,1.5128021122192297,1.4186274210618073
ET0409,1,2026-07,crop_farming,2.3463127236606556,2.6466551776715823
ET0413,1,2026-07,crop_farming,1.0396067225116947,1.0188210808221774
ET0416,1,2026-07,crop_farming,1.030807688832283,1.0074480146021687
ET0417,1,2026-07,crop_farming,1.3377552504962562,1.3477101596801624
ET0418,1,2026-07,crop_farming,1.032249854375401,1.0091257147917267
ET0419,1,2026-07,crop_farming,1.3420258960355333,1.3370845309197665
ET0420,1,2026-07,crop_farming,1.030807688832283,1.008527464507596
ET0602,1,2026-07,crop_farming,1.030807688832283,1.007135318004582
ET0603,1,2026-07,crop_farming,1.044177657572168,1.0319161319226688
ET0604,1,2026-07,crop_farming,1.068443656781639,1.0540533957287805
ET0605,1,2026-07,crop_farming,1.1170699569358025,1.0894072944042041
ET0701,1,2026-07,crop_farming,1.412189266657787,1.397369089116167
ET0702,1,2026-07,crop_farming,1.4435288598131326,1.3693261746342185
ET0703,1,2026-07,crop_farming,2.1623439782879528,2.212645427817623
ET0705,1,2026-07,crop_farming,1.994991659679719,2.0734048734139003
ET0706,1,2026-07,crop_farming,2.2594054234332774,2.5449009292143265
ET0710,1,2026-07,crop_farming,2.5155458747598223,2.740081681666969
