zone_code,lead,target_month,tabicl_pred
ET0406,4,2026-10,1
ET0407,4,2026-10,1
ET0408,4,2026-10,1
ET0409,4,2026-10,1
ET0410,4,2026-10,1
ET0411,4,2026-10,2
ET0412,4,2026-10,3
ET0413,4,2026-10,1
ET0414,4,2026-10,2
ET0415,4,2026-10,2
ET0416,4,2026-10,1
ET0417,4,2026-10,1
ET0418,4,2026-10,1
ET0419,4,2026-10,1
ET0420,4,2026-10,1
ET0421,4,2026-10,3
ET0501,4,2026-10,2
ET0502,4,2026-10,2
ET0503,4,2026-10,3
ET0504,4,2026-10,3
ET0505,4,2026-10,3
ET0506,4,2026-10,3
ET0507,4,2026-10,3
ET0508,4,2026-10,3
ET0509,4,2026-10,3
ET0510,4,2026-10,3
ET0511,4,2026-10,3
ET0602,4,2026-10,1
ET0603,4,2026-10,1
ET0604,4,2026-10,1
ET0605,4,2026-10,1
ET0701,4,2026-10,1
ET0702,4,2026-10,1
ET0703,4,2026-10,1
ET0705,4,2026-10,1
ET0706,4,2026-10,1
ET0707,4,2026-10,2
ET0710,4,2026-10,1
ET0712,4,2026-10,1
ET0713,4,2026-10,2
ET0714,4,2026-10,1
ET0715,4,2026-10,1
ET0716,4,2026-10,1
ET0720,4,2026-10,1
ET0721,4,2026-10,1
ET0722,4,2026-10,1
ET0723,4,2026-10,1
ET0724,4,2026-10,1
ET1101,4,2026-10,1
ET1102,4,2026-10,1
ET1103,4,2026-10,1
ET1104,4,2026-10,1
ET1105,4,2026-10,1
ET1106,4,2026-10,1
ET1201,4,2026-10,1
ET1202,4,2026-10,1
ET1203,4,2026-10,1
ET1204,4,2026-10,1
ET1301,4,2026-10,1
ET1401,4,2026-10,1
ET1501,4,2026-10,1
ET1502,4,2026-10,1
ET1600,4,2026-10,1
ET0101,8,2027-02,2
ET0102,8,2027-02,2
ET0103,8,2027-02,2
ET0104,8,2027-02,2
ET0105,8,2027-02,1
ET0106,8,2027-02,2
ET0107,8,2027-02,2
ET0201,8,2027-02,2
ET0202,8,2027-02,3
ET0203,8,2027-02,2
ET0204,8,2027-02,3
ET0205,8,2027-02,2
ET0301,8,2027-02,2
ET0302,8,2027-02,1
ET0303,8,2027-02,2
ET0304,8,2027-02,2
ET0305,8,2027-02,1
ET0306,8,2027-02,1
ET0307,8,2027-02,1
ET0308,8,2027-02,3
ET0309,8,2027-02,1
ET0310,8,2027-02,2
ET0311,8,2027-02,1
ET0312,8,2027-02,1
ET0401,8,2027-02,1
ET0402,8,2027-02,1
ET0403,8,2027-02,1
ET0404,8,2027-02,1
ET0405,8,2027-02,1
ET0406,8,2027-02,1
ET0407,8,2027-02,2
ET0408,8,2027-02,1
ET0409,8,2027-02,2
ET0410,8,2027-02,3
ET0411,8,2027-02,3
ET0412,8,2027-02,3
ET0413,8,2027-02,1
ET0414,8,2027-02,3
ET0415,8,2027-02,3
ET0416,8,2027-02,1
ET0417,8,2027-02,2
ET0418,8,2027-02,1
ET0419,8,2027-02,1
ET0420,8,2027-02,1
ET0421,8,2027-02,3
ET0501,8,2027-02,3
ET0502,8,2027-02,3
ET0503,8,2027-02,3
ET0504,8,2027-02,3
ET0505,8,2027-02,3
ET0506,8,2027-02,3
ET0507,8,2027-02,3
ET0508,8,2027-02,3
ET0509,8,2027-02,3
ET0510,8,2027-02,3
ET0511,8,2027-02,3
ET0602,8,2027-02,1
ET0603,8,2027-02,1
ET0604,8,2027-02,1
ET0605,8,2027-02,1
ET0701,8,2027-02,1
ET0702,8,2027-02,1
ET0703,8,2027-02,2
ET0705,8,2027-02,1
ET0706,8,2027-02,2
ET0707,8,2027-02,2
ET0710,8,2027-02,2
ET0712,8,2027-02,2
ET0713,8,2027-02,2
ET0714,8,2027-02,1
ET0715,8,2027-02,1
ET0716,8,2027-02,1
ET0720,8,2027-02,2
ET0721,8,2027-02,2
ET0722,8,2027-02,2
ET0723,8,2027-02,1
ET0724,8,2027-02,1
ET1101,8,2027-02,1
ET1102,8,2027-02,1
ET1103,8,2027-02,1
ET1104,8,2027-02,1
ET1105,8,2027-02,1
ET1106,8,2027-02,1
ET1201,8,2027-02,1
ET1202,8,2027-02,1
ET1203,8,2027-02,1
ET1204,8,2027-02,1
ET1301,8,2027-02,1
ET1401,8,2027-02,1
ET1501,8,2027-02,2
ET1502,8,2027-02,2
ET1600,8,2027-02,2
ET0101,12,2027-06,2
ET0102,12,2027-06,2
ET0103,12,2027-06,2
ET0104,12,2027-06,2
ET0105,12,2027-06,1
ET0106,12,2027-06,2
ET0107,12,2027-06,2
ET0201,12,2027-06,2
ET0202,12,2027-06,3
ET0203,12,2027-06,2
ET0204,12,2027-06,3
ET0205,12,2027-06,2
ET0301,12,2027-06,2
ET0302,12,2027-06,2
ET0303,12,2027-06,2
ET0304,12,2027-06,2
ET0305,12,2027-06,2
ET0306,12,2027-06,1
ET0307,12,2027-06,1
ET0308,12,2027-06,3
ET0309,12,2027-06,1
ET0310,12,2027-06,2
ET0311,12,2027-06,1
ET0312,12,2027-06,1
ET0401,12,2027-06,1
ET0402,12,2027-06,1
ET0403,12,2027-06,1
ET0404,12,2027-06,1
ET0405,12,2027-06,1
ET0406,12,2027-06,2
ET0407,12,2027-06,2
ET0408,12,2027-06,1
ET0409,12,2027-06,2
ET0410,12,2027-06,1
ET0411,12,2027-06,3
ET0412,12,2027-06,3
ET0413,12,2027-06,1
ET0414,12,2027-06,3
ET0415,12,2027-06,3
ET0416,12,2027-06,1
ET0417,12,2027-06,2
ET0418,12,2027-06,1
ET0419,12,2027-06,1
ET0420,12,2027-06,1
ET0421,12,2027-06,3
ET0501,12,2027-06,3
ET0502,12,2027-06,2
ET0503,12,2027-06,3
ET0504,12,2027-06,3
ET0505,12,2027-06,3
ET0506,12,2027-06,3
