zone_code,lead,target_month,subject,predicted_cause,is_compound,top1_category,top1_score,top2_category,top2_score,margin,score_DROUGHT,score_FLOODING,score_CONFLICT,score_MARKET_SHOCK,shap_DROUGHT_spi_3,shap_DROUGHT_ndvi_anomaly,shap_DROUGHT_ssmi_3,shap_DROUGHT_spei_3,shap_FLOODING_spi_3,shap_FLOODING_ssmi_3,shap_FLOODING_glofas_exceed_2yr,shap_CONFLICT_acled_event_count,shap_CONFLICT_acled_fatalities,shap_MARKET_SHOCK_grain_price_index,shap_MARKET_SHOCK_price_volatility,shap_MARKET_SHOCK_food_cpi_yoy_change,shap_MARKET_SHOCK_exchange_rate
ET0604,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.004828348919772907,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.004828348919772907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.004552009981125593,0.0
ET0605,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.004828348919772907,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.004828348919772907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.004552009981125593,0.0
ET0701,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006693170762446243,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006693170762446243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006417864467948675,0.0
ET0702,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0076563510883715935,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0076563510883715935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.007381044793874025,0.0
ET0703,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.013426489516859874,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.013426489516859874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002667692897375673,0.013159720227122307,0.0
ET0705,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.013273850752739236,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.013273850752739236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002672213304322213,0.013006629422307014,0.0
ET0706,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.03013421717332676,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.03013421717332676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002434936468489468,0.029890723526477814,0.0
ET0707,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.0186406965367496,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.0186406965367496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012375120539218187,0.006265575997531414,0.0
ET0710,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.028640779957640916,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.028640779957640916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002434936468489468,0.02839728631079197,0.0
ET0712,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.017240824701730162,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.017240824701730162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013708123762626201,0.003532700939103961,0.0
ET0713,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.016857594917382812,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.016857594917382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001754767399688717,0.01668211817741394,0.0
ET0714,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006693170762446243,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006693170762446243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027530629449756816,0.006417864467948675,0.0
ET0715,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.01147665466851322,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.01147665466851322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026780005282489583,0.011208854615688324,0.0
ET0716,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.006312188390666051,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.006312188390666051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002763389386473136,0.006035849452018738,0.0
ET0720,0,2026-06,champion_xgboost,MARKET_SHOCK,False,MARKET_SHOCK,0.007942162861581892,DROUGHT,0.0,1.0,0.0,0.0,0.0,0.007942162861581892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027402298292145133,0.0076681398786604404,0.0
