pcode,year,month,ndvi_ref
ET1301,1994,6,
ET1301,1994,7,
ET1301,1994,8,
ET1301,1994,9,
ET1301,1994,10,
ET1301,1994,11,
ET1301,1994,12,
ET1301,1995,1,
ET1301,1995,2,
ET1301,1995,3,
ET1301,1995,4,
ET1301,1995,5,
ET1301,1995,6,
ET1301,1995,7,
ET1301,1995,8,
ET1301,1995,9,
ET1301,1995,10,
ET1301,1995,11,
ET1301,1995,12,
ET1301,1996,1,
ET1301,1996,2,
ET1301,1996,3,
ET1301,1996,4,
ET1301,1996,5,
ET1301,1996,6,
ET1301,1996,7,
ET1301,1996,8,
ET1301,1996,9,
ET1301,1996,10,
ET1301,1996,11,
ET1301,1996,12,
ET1301,1997,1,
ET1301,1997,2,
ET1301,1997,3,
ET1301,1997,4,
ET1301,1997,5,
ET1301,1997,6,
ET1301,1997,7,
ET1301,1997,8,
ET1301,1997,9,
ET1301,1997,10,
ET1301,1997,11,
ET1301,1997,12,
ET1301,1998,1,
ET1301,1998,2,
ET1301,1998,3,
ET1301,1998,4,
ET1301,1998,5,
ET1301,1998,6,
ET1301,1998,7,
ET1301,1998,8,
ET1301,1998,9,
ET1301,1998,10,
ET1301,1998,11,
ET1301,1998,12,
ET1301,1999,1,
ET1301,1999,2,
ET1301,1999,3,
ET1301,1999,4,
ET1301,1999,5,
ET1301,1999,6,
ET1301,1999,7,
ET1301,1999,8,
ET1301,1999,9,
ET1301,1999,10,
ET1301,1999,11,
ET1301,1999,12,
ET1301,2000,1,
ET1301,2000,2,
ET1301,2000,3,
ET1301,2000,4,
ET1301,2000,5,
ET1301,2000,6,
ET1301,2000,7,
ET1301,2000,8,
ET1301,2000,9,
ET1301,2000,10,
ET1301,2000,11,
ET1301,2000,12,
ET1301,2001,1,
ET1301,2001,2,
ET1301,2001,3,
ET1301,2001,4,
ET1301,2001,5,
ET1301,2001,6,
ET1301,2001,7,
ET1301,2001,8,
ET1301,2001,9,
ET1301,2001,10,
ET1301,2001,11,
ET1301,2001,12,
ET1301,2002,1,
ET1301,2002,2,
ET1301,2002,3,
ET1301,2002,4,
ET1301,2002,5,
ET1301,2002,6,
ET1301,2002,7,
ET1301,2002,8,
ET1301,2002,9,
ET1301,2002,10,
ET1301,2002,11,
ET1301,2002,12,
ET1301,2003,1,
ET1301,2003,2,
ET1301,2003,3,
ET1301,2003,4,
ET1301,2003,5,
ET1301,2003,6,
ET1301,2003,7,
ET1301,2003,8,
ET1301,2003,9,
ET1301,2003,10,
ET1301,2003,11,
ET1301,2003,12,
ET1301,2004,1,
ET1301,2004,2,
ET1301,2004,3,
ET1301,2004,4,
ET1301,2004,5,
ET1301,2004,6,
ET1301,2004,7,
ET1301,2004,8,
ET1301,2004,9,
ET1301,2004,10,
ET1301,2004,11,
ET1301,2004,12,
ET1301,2005,1,
ET1301,2005,2,
ET1301,2005,3,
ET1301,2005,4,
ET1301,2005,5,
ET1301,2005,6,
ET1301,2005,7,
ET1301,2005,8,
ET1301,2005,9,
ET1301,2005,10,
ET1301,2005,11,
ET1301,2005,12,
ET1301,2006,1,
ET1301,2006,2,
ET1301,2006,3,
ET1301,2006,4,
ET1301,2006,5,
ET1301,2006,6,
ET1301,2006,7,
ET1301,2006,8,
ET1301,2006,9,
ET1301,2006,10,
ET1301,2006,11,
ET1301,2006,12,
ET1301,2007,1,
ET1301,2007,2,
ET1301,2007,3,
ET1301,2007,4,
ET1301,2007,5,
ET1301,2007,6,
ET1301,2007,7,
ET1301,2007,8,
ET1301,2007,9,
ET1301,2007,10,
ET1301,2007,11,
ET1301,2007,12,
ET1301,2008,1,
ET1301,2008,2,
ET1301,2008,3,
ET1301,2008,4,
ET1301,2008,5,
ET1301,2008,6,
ET1301,2008,7,
ET1301,2008,8,
ET1301,2008,9,
ET1301,2008,10,
ET1301,2008,11,
ET1301,2008,12,
ET1301,2009,1,
ET1301,2009,2,
ET1301,2009,3,
ET1301,2009,4,
ET1301,2009,5,
ET1301,2009,6,
ET1301,2009,7,
ET1301,2009,8,
ET1301,2009,9,
ET1301,2009,10,
ET1301,2009,11,
ET1301,2009,12,
ET1301,2010,1,
ET1301,2010,2,
ET1301,2010,3,
ET1301,2010,4,
ET1301,2010,5,
ET1301,2010,6,
ET1301,2010,7,
ET1301,2010,8,
ET1301,2010,9,
ET1301,2010,10,
ET1301,2010,11,
ET1301,2010,12,
ET1301,2011,1,
ET1301,2011,2,
ET1301,2011,3,
ET1301,2011,4,
ET1301,2011,5,
ET1301,2011,6,
ET1301,2011,7,
ET1301,2011,8,
ET1301,2011,9,
ET1301,2011,10,
ET1301,2011,11,
ET1301,2011,12,
ET1301,2012,1,
ET1301,2012,2,
ET1301,2012,3,
ET1301,2012,4,
ET1301,2012,5,
ET1301,2012,6,
ET1301,2012,7,
ET1301,2012,8,
ET1301,2012,9,
ET1301,2012,10,
ET1301,2012,11,
ET1301,2012,12,
ET1301,2013,1,
ET1301,2013,2,
ET1301,2013,3,
ET1301,2013,4,
ET1301,2013,5,
ET1301,2013,6,
ET1301,2013,7,
ET1301,2013,8,
ET1301,2013,9,
ET1301,2013,10,
ET1301,2013,11,
ET1301,2013,12,
ET1301,2014,1,
ET1301,2014,2,
ET1301,2014,3,
ET1301,2014,4,
ET1301,2014,5,
ET1301,2014,6,
ET1301,2014,7,
ET1301,2014,8,
ET1301,2014,9,
ET1301,2014,10,
ET1301,2014,11,
ET1301,2014,12,
ET1301,2015,1,
ET1301,2015,2,
ET1301,2015,3,
ET1301,2015,4,
ET1301,2015,5,
ET1301,2015,6,
ET1301,2015,7,
ET1301,2015,8,
ET1301,2015,9,
ET1301,2015,10,
ET1301,2015,11,
ET1301,2015,12,
ET1301,2016,1,
ET1301,2016,2,
ET1301,2016,3,
ET1301,2016,4,
ET1301,2016,5,
ET1301,2016,6,
ET1301,2016,7,
ET1301,2016,8,
ET1301,2016,9,
ET1301,2016,10,
ET1301,2016,11,
ET1301,2016,12,
ET1301,2017,1,
ET1301,2017,2,
ET1301,2017,3,
ET1301,2017,4,
ET1301,2017,5,
ET1301,2017,6,
ET1301,2017,7,
ET1301,2017,8,
ET1301,2017,9,
ET1301,2017,10,
ET1301,2017,11,
ET1301,2017,12,
ET1301,2018,1,
ET1301,2018,2,
ET1301,2018,3,
ET1301,2018,4,
ET1301,2018,5,
ET1301,2018,6,
ET1301,2018,7,
ET1301,2018,8,
ET1301,2018,9,
ET1301,2018,10,
ET1301,2018,11,
ET1301,2018,12,
ET1301,2019,1,
ET1301,2019,2,
ET1301,2019,3,
ET1301,2019,4,
ET1301,2019,5,
ET1301,2019,6,
ET1301,2019,7,
ET1301,2019,8,
ET1301,2019,9,
ET1301,2019,10,
ET1301,2019,11,
ET1301,2019,12,
ET1301,2020,1,
ET1301,2020,2,
ET1301,2020,3,
ET1301,2020,4,
ET1301,2020,5,
ET1301,2020,6,
ET1301,2020,7,
ET1301,2020,8,
ET1301,2020,9,
ET1301,2020,10,
