pcode,year,month,ndvi_ref
ET0401,2000,4,0.2172185058697937
ET0401,2000,5,0.3563124823174503
ET0401,2000,6,0.4156761711771249
ET0401,2000,7,0.38483172556168344
ET0401,2000,8,0.38970462497333846
ET0401,2000,9,0.38177237518353835
ET0401,2000,10,0.3417994748286115
ET0401,2000,11,0.3299519124271747
ET0401,2000,12,0.29338924172851777
ET0401,2001,1,0.24436884691439026
ET0401,2001,2,0.19670597174101406
ET0401,2001,3,0.185352989328586
ET0401,2001,4,0.21596315374905825
ET0401,2001,5,0.2942361248944833
ET0401,2001,6,0.3942605197671952
ET0401,2001,7,0.436989451690418
ET0401,2001,8,0.4551887067998974
ET0401,2001,9,0.4898922989361978
ET0401,2001,10,0.4759328136760691
ET0401,2001,11,0.4286551697628931
ET0401,2001,12,0.3430437145598213
ET0401,2002,1,0.25671681361954385
ET0401,2002,2,0.19490888408892523
ET0401,2002,3,0.16880590212215899
ET0401,2002,4,0.18893144470525952
ET0401,2002,5,0.23764906328948854
ET0401,2002,6,0.3315447313069974
ET0401,2002,7,0.44016072487201147
ET0401,2002,8,0.4661599141633931
ET0401,2002,9,0.500074007323764
ET0401,2002,10,0.4818987342804105
ET0401,2002,11,0.41059893547357906
ET0401,2002,12,0.3195441881129089
ET0401,2003,1,0.242857734705536
ET0401,2003,2,0.18810536086478533
ET0401,2003,3,0.1651417416265502
ET0401,2003,4,0.1766158618174271
ET0401,2003,5,0.2041704024422944
ET0401,2003,6,0.30162115203252005
ET0401,2003,7,0.4136090981887608
ET0401,2003,8,0.4580657393709431
ET0401,2003,9,0.4740921638926194
ET0401,2003,10,0.4641832869631165
ET0401,2003,11,0.4161521202422739
ET0401,2003,12,0.33946885128169846
ET0401,2004,1,0.28942142231112256
ET0401,2004,2,0.20987602610009795
ET0401,2004,3,0.17335231170098636
ET0401,2004,4,
ET0401,2004,5,
ET0401,2004,6,0.3706558437811004
ET0401,2004,7,0.43104970384500213
ET0401,2004,8,0.4693059828788607
ET0401,2004,9,0.4778726515246601
ET0401,2004,10,0.4614275295317658
ET0401,2004,11,0.38139540958533763
ET0401,2004,12,0.29515550180583144
ET0401,2005,1,0.22855502407402206
ET0401,2005,2,0.18544377525889777
ET0401,2005,3,0.17283503516377796
ET0401,2005,4,0.17712602444336345
ET0401,2005,5,0.25238727499556735
ET0401,2005,6,0.3721394336288302
ET0401,2005,7,0.4358045598921091
ET0401,2005,8,0.46674798933794176
ET0401,2005,9,0.4582899944165212
ET0401,2005,10,0.4430940587346147
ET0401,2005,11,0.4147242751871021
ET0401,2005,12,0.33515922957400324
ET0401,2006,1,0.24668049957694077
ET0401,2006,2,0.19845122836913842
ET0401,2006,3,0.18287365362653887
ET0401,2006,4,0.19229980519793544
ET0401,2006,5,0.2833720998873879
ET0401,2006,6,0.4026240028420761
ET0401,2006,7,0.42755611662861454
ET0401,2006,8,0.4298760365583709
ET0401,2006,9,0.4590935168389059
ET0401,2006,10,0.4480157400857465
ET0401,2006,11,0.40754270242643226
ET0401,2006,12,0.3329573325348417
ET0401,2007,1,0.2525181690367257
ET0401,2007,2,0.19894885749311303
ET0401,2007,3,0.18445800313458532
ET0401,2007,4,0.22720488844323286
ET0401,2007,5,0.3284387005982683
ET0401,2007,6,0.38720970564499135
ET0401,2007,7,0.3904970373281942
ET0401,2007,8,0.4145864022133473
ET0401,2007,9,0.445360454884648
ET0401,2007,10,0.4453306441223072
ET0401,2007,11,0.3893607907744281
ET0401,2007,12,0.31733300979059886
ET0401,2008,1,0.2365613255074354
ET0401,2008,2,0.19083469718452395
ET0401,2008,3,0.18436748811061465
ET0401,2008,4,0.23157860171100308
ET0401,2008,5,0.3646060464989525
ET0401,2008,6,0.44825422174239227
ET0401,2008,7,0.4347154683052363
ET0401,2008,8,0.4308086238740905
ET0401,2008,9,0.46139324652308694
ET0401,2008,10,0.4345376217752937
ET0401,2008,11,0.38799392034206287
ET0401,2008,12,0.29974147802607476
ET0401,2009,1,0.23202033608465336
ET0401,2009,2,0.19120529349539983
ET0401,2009,3,0.18919621451396929
ET0401,2009,4,0.20902372269732197
ET0401,2009,5,0.25466532389403684
ET0401,2009,6,0.33867860605642397
ET0401,2009,7,0.4012513739791343
ET0401,2009,8,0.44906316487608244
ET0401,2009,9,0.4787290194412557
ET0401,2009,10,0.46507387020723606
ET0401,2009,11,0.38927535805598834
ET0401,2009,12,0.304765258256982
ET0401,2010,1,0.22543352514788445
ET0401,2010,2,0.1740736174555129
ET0401,2010,3,0.15111154030245227
ET0401,2010,4,0.16028155376338568
ET0401,2010,5,0.22157802930154824
ET0401,2010,6,0.3220295265337182
ET0401,2010,7,0.3444725400799812
ET0401,2010,8,0.38247979999478177
ET0401,2010,9,0.4421594504423672
ET0401,2010,10,0.44110381918652247
ET0401,2010,11,0.3782377382753015
ET0401,2010,12,0.3011875992875894
ET0401,2011,1,0.23206052644079705
ET0401,2011,2,0.19009553686511227
ET0401,2011,3,0.17596579424855185
ET0401,2011,4,0.17915414165715537
ET0401,2011,5,0.21049838323337922
ET0401,2011,6,0.2888045528030331
ET0401,2011,7,0.36432826916780575
ET0401,2011,8,0.417716280090292
ET0401,2011,9,0.46052644347272265
ET0401,2011,10,0.44590002140863155
ET0401,2011,11,0.38664940887996496
ET0401,2011,12,0.3117439163530745
ET0401,2012,1,0.23687643351835935
ET0401,2012,2,0.1846243309760643
ET0401,2012,3,0.16846850348843467
ET0401,2012,4,0.19696206876094427
ET0401,2012,5,0.27636349590894005
ET0401,2012,6,0.3525860600153282
ET0401,2012,7,0.3826608050872383
ET0401,2012,8,0.43215198671316357
ET0401,2012,9,0.4679125051647222
ET0401,2012,10,0.4575055856636777
ET0401,2012,11,0.39403054712585384
ET0401,2012,12,0.3158802720673857
ET0401,2013,1,0.23380963180244455
ET0401,2013,2,0.1866517702879783
ET0401,2013,3,0.16823950642088886
ET0401,2013,4,0.18950949417462518
ET0401,2013,5,0.24058944234235824
ET0401,2013,6,0.3163272519381389
ET0401,2013,7,0.35952711698970174
ET0401,2013,8,0.40238518140664914
ET0401,2013,9,0.4450504269380234
ET0401,2013,10,0.44020056179383904
ET0401,2013,11,0.4149163470560619
ET0401,2013,12,0.3286455438086172
ET0401,2014,1,0.2449190497580098
ET0401,2014,2,0.20238246221529435
ET0401,2014,3,0.2032832074355142
ET0401,2014,4,0.26061722090048844
ET0401,2014,5,0.3401019805916118
ET0401,2014,6,0.40585042608947286
ET0401,2014,7,0.4051226480260774
ET0401,2014,8,0.42425510103544245
ET0401,2014,9,0.44667562943325456
ET0401,2014,10,0.4354119455103629
ET0401,2014,11,0.39879575054739225
ET0401,2014,12,0.31831058323746775
ET0401,2015,1,0.2383821257528897
ET0401,2015,2,0.19109384348075886
ET0401,2015,3,0.17778591601667687
ET0401,2015,4,0.21003456218900074
ET0401,2015,5,0.2785098367650819
ET0401,2015,6,0.3874029985005617
ET0401,2015,7,0.4474868092756607
ET0401,2015,8,0.45838213621116264
ET0401,2015,9,0.46856099803273266
ET0401,2015,10,0.4351019842757119
ET0401,2015,11,0.3893249500088576
ET0401,2015,12,0.30519479839257435
ET0401,2016,1,0.2359766370255934
ET0401,2016,2,0.1891420141246099
ET0401,2016,3,0.17758435753948965
ET0401,2016,4,0.20858469845722039
ET0401,2016,5,0.29337914566683576
ET0401,2016,6,0.3845508315456592
ET0401,2016,7,0.42342176821415983
ET0401,2016,8,0.4437406707585343
ET0401,2016,9,0.4553367407502844
ET0401,2016,10,0.4296111312258211
ET0401,2016,11,0.3914817256656119
ET0401,2016,12,0.31355184357017685
ET0401,2017,1,0.23112548509143233
ET0401,2017,2,0.18556369444340223
ET0401,2017,3,0.18220529320642231
ET0401,2017,4,0.22105556567954174
ET0401,2017,5,0.3098439177281165
ET0401,2017,6,0.40230625213646304
ET0401,2017,7,0.4176295600367109
ET0401,2017,8,0.42704846249605577
ET0401,2017,9,0.4413672285835918
ET0401,2017,10,0.4186599111653925
ET0401,2017,11,0.3791074013605027
ET0401,2017,12,0.3090135641295089
ET0401,2018,1,0.23230353423815756
ET0401,2018,2,0.18860400646803824
ET0401,2018,3,0.18813212173498742
ET0401,2018,4,0.22486207014338433
ET0401,2018,5,0.28183944452665044
ET0401,2018,6,0.35222528767860356
ET0401,2018,7,0.40795665783530005
ET0401,2018,8,0.452827255960887
ET0401,2018,9,0.4652933819587961
ET0401,2018,10,0.43438565706819054
ET0401,2018,11,0.40101018212836603
ET0401,2018,12,0.3271321283607948
ET0401,2019,1,0.25161451011451924
ET0401,2019,2,0.20062365454588804
ET0401,2019,3,0.186537610129693
ET0401,2019,4,0.21227805839402242
ET0401,2019,5,0.2588048906931224
ET0401,2019,6,0.33826898557303076
ET0401,2019,7,0.4150834879093377
ET0401,2019,8,0.4465694656257384
ET0401,2019,9,0.4683902670697468
ET0401,2019,10,0.45419480532488526
ET0401,2019,11,0.42624324376424805
ET0401,2019,12,0.3549750843527033
ET0401,2020,1,0.2675650531279685
ET0401,2020,2,0.21012534869476385
ET0401,2020,3,0.18699838176652345
ET0401,2020,4,0.21408334296691386
ET0401,2020,5,0.26564703153845093
ET0401,2020,6,0.3541777947246221
ET0401,2020,7,0.3722479851426794
ET0401,2020,8,0.40164988453633743
ET0401,2020,9,0.45521479219117467
ET0401,2020,10,0.44293328649225594
ET0401,2020,11,0.4116257656274772
ET0401,2020,12,0.33087027369718236
ET0401,2021,1,0.254601299338709
ET0401,2021,2,0.20402575471011924
ET0401,2021,3,0.19305691913497158
ET0401,2021,4,0.23459350704379522
ET0401,2021,5,0.3359390405135426
ET0401,2021,6,0.40304473442275346
ET0401,2021,7,0.38490347334039887
ET0401,2021,8,0.4051347078710067
ET0401,2021,9,0.44603728391936803
ET0401,2021,10,0.44510401781335435
ET0401,2021,11,0.40929812275701094
ET0401,2021,12,0.322626031127564
ET0401,2022,1,0.24110217859872635
ET0401,2022,2,0.19511315284100006
ET0401,2022,3,0.19493632348693482
ET0401,2022,4,0.2413120037676681
ET0401,2022,5,0.3206748120426163
ET0401,2022,6,0.3642842315117195
ET0401,2022,7,0.3681450034908163
ET0402,1981,8,0.5226280441126769
ET0402,1981,9,0.5295181405909011
ET0402,1981,10,0.5204046111367944
ET0402,1981,11,0.44473754087891937
ET0402,1981,12,0.320906215051906
ET0402,1982,1,0.21508616151441123
ET0402,1982,2,0.16810910569296944
ET0402,1982,3,0.18267601457290986
ET0402,1982,4,0.2092709441859749
ET0402,1982,5,0.27414977099392535
ET0402,1982,6,0.382332142688418
ET0402,1982,7,0.44321499671337106
ET0402,1982,8,0.45833367795567964
ET0402,1982,9,0.46240058577291054
ET0402,1982,10,0.46204752603398813
ET0402,1982,11,0.39830629834710307
ET0402,1982,12,0.30702054498180287
ET0402,1983,1,0.21395814260422896
ET0402,1983,2,0.15992271233104086
ET0402,1983,3,0.15036635202822096
ET0402,1983,4,0.19009702955035196
ET0402,1983,5,0.3113204645841786
ET0402,1983,6,0.43761797580454087
ET0402,1983,7,0.4696058987995277
ET0402,1983,8,0.4483114546959719
ET0402,1983,9,0.44803182452005275
ET0402,1983,10,0.44545251678153513
ET0402,1983,11,0.39180315788625325
ET0402,1983,12,0.31528181867035115
ET0402,1984,1,0.21821997729812462
ET0402,1984,2,0.154340988897903
ET0402,1984,3,0.12901329061979255
ET0402,1984,4,0.15160000700977497
ET0402,1984,5,0.2529198992847437
ET0402,1984,6,0.4071320636788812
ET0402,1984,7,0.4939050159016669
ET0402,1984,8,0.5155149189074449
ET0402,1984,9,0.5186566260317865
ET0402,1984,10,0.47708697907398673
ET0402,1984,11,0.3542125760645106
ET0402,1984,12,0.3029533154218669
ET0402,1985,1,
ET0402,1985,2,
ET0402,1985,3,0.1772330995415144
ET0402,1985,4,0.24393753171111077
ET0402,1985,5,0.3676155562754031
ET0402,1985,6,0.47997465945672296
ET0402,1985,7,0.5228914910276539
ET0402,1985,8,0.5280620219626864
ET0402,1985,9,0.5301385114926263
ET0402,1985,10,0.4885982524081705
ET0402,1985,11,0.39578584753180857
ET0402,1985,12,0.2932515439731871
ET0402,1986,1,0.2230048411902214
ET0402,1986,2,0.17351168274711487
ET0402,1986,3,0.14414654511976357
ET0402,1986,4,0.15905113463648468
ET0402,1986,5,0.19386756148987155
ET0402,1986,6,0.2887146679771503
ET0402,1986,7,0.455882065370079
ET0402,1986,8,0.5190507481159603
ET0402,1986,9,0.5378499440908816
ET0402,1986,10,0.5111783657001028
ET0402,1986,11,0.4329976046430892
ET0402,1986,12,0.31173624633398994
ET0402,1987,1,0.21005073496277013
ET0402,1987,2,0.15519324418355301
ET0402,1987,3,0.13164445048201104
ET0402,1987,4,0.15642673838373738
ET0402,1987,5,0.24840540602059372
ET0402,1987,6,0.4099890691454668
ET0402,1987,7,0.5055201513371798
ET0402,1987,8,0.5105472072694996
ET0402,1987,9,0.5053760298256329
ET0402,1987,10,0.4603985718386953
ET0402,1987,11,0.36786088498606195
ET0402,1987,12,0.27179469846057047
ET0402,1988,1,0.20146699878424645
ET0402,1988,2,0.15579582051330526
ET0402,1988,3,0.15258897659211343
ET0402,1988,4,0.17780314819608334
ET0402,1988,5,0.24860935046333046
ET0402,1988,6,0.3692612891203923
ET0402,1988,7,0.4070885865056764
ET0402,1988,8,0.45722868333116246
ET0402,1988,9,0.489329330827111
ET0402,1988,10,0.4863478485704812
ET0402,1988,11,0.4601727264802813
ET0402,1988,12,0.3921393095103247
ET0402,1989,1,0.2839449414452493
ET0402,1989,2,0.20515178099586578
ET0402,1989,3,0.2049935685287735
ET0402,1989,4,0.2715012207987228
ET0402,1989,5,0.37536781083270543
ET0402,1989,6,0.4739215206984736
ET0402,1989,7,0.5196992172327211
ET0402,1989,8,0.5322455955780263
ET0402,1989,9,0.5197842431625114
ET0402,1989,10,0.49379100762127676
ET0402,1989,11,0.4187629023227907
ET0402,1989,12,0.32168117515898753
ET0402,1990,1,0.2301024260920219
ET0402,1990,2,0.17216546725535736
ET0402,1990,3,0.17024316368759543
ET0402,1990,4,0.21169566193928463
ET0402,1990,5,0.3133812554648533
ET0402,1990,6,0.4191332728198569
ET0402,1990,7,0.5007426959976866
ET0402,1990,8,0.5242214413080815
ET0402,1990,9,0.521062422969683
ET0402,1990,10,0.48968247068676973
ET0402,1990,11,0.3989420480870202
ET0402,1990,12,0.3044432506997036
